11 ['P3C+PGE2']
tensor(0.0469, dtype=torch.float64)
i=0, l=0.29773, s=0.802, r=0.00000, v=0
i=50, l=0.28033, s=0.818, r=0.00001, v=0
i=100, l=0.21162, s=0.809, r=0.00005, v=0
i=150, l=0.13963, s=0.691, r=0.00011, v=0
i=200, l=0.07694, s=0.632, r=0.00019, v=3
i=250, l=0.05554, s=0.604, r=0.00029, v=0
i=300, l=0.04818, s=0.588, r=0.00041, v=1
i=350, l=0.04769, s=0.589, r=0.00055, v=0
i=400, l=0.04567, s=0.612, r=0.00069, v=0
i=450, l=0.04237, s=0.764, r=0.00084, v=0
i=500, l=0.03163, s=0.813, r=0.00100, v=1
i=550, l=0.02614, s=0.734, r=0.00116, v=0
i=600, l=0.02558, s=0.707, r=0.00131, v=0
i=650, l=0.02597, s=0.740, r=0.00145, v=1
i=700, l=0.02505, s=0.740, r=0.00159, v=0
i=750, l=0.02269, s=0.708, r=0.00171, v=1
i=800, l=0.02046, s=0.767, r=0.00181, v=0
i=850, l=0.01929, s=0.778, r=0.00189, v=0
i=900, l=0.01727, s=0.746, r=0.00195, v=0
i=950, l=0.01587, s=0.747, r=0.00199, v=0
i=1000, l=0.01380, s=0.784, r=0.00200, v=0
i=1050, l=0.01279, s=0.774, r=0.00200, v=0
i=1100, l=0.01278, s=0.760, r=0.00200, v=0
i=1150, l=0.01145, s=0.735, r=0.00199, v=1
i=1200, l=0.01157, s=0.785, r=0.00199, v=0
i=1250, l=0.01109, s=0.787, r=0.00198, v=0
i=1300, l=0.01017, s=0.745, r=0.00197, v=0
i=1350, l=0.01064, s=0.709, r=0.00196, v=0
i=1400, l=0.00996, s=0.725, r=0.00194, v=0
i=1450, l=0.00882, s=0.739, r=0.00193, v=1
i=1500, l=0.00899, s=0.737, r=0.00191, v=0
i=1550, l=0.00926, s=0.756, r=0.00190, v=0
i=1600, l=0.01945, s=0.792, r=0.00188, v=8
i=1650, l=0.00920, s=0.779, r=0.00186, v=0
i=1700, l=0.00856, s=0.790, r=0.00183, v=0
i=1750, l=0.00880, s=0.777, r=0.00181, v=0
i=1800, l=0.00819, s=0.764, r=0.00178, v=0
i=1850, l=0.00797, s=0.746, r=0.00176, v=0
i=1900, l=0.00823, s=0.742, r=0.00173, v=0
i=1950, l=0.00793, s=0.758, r=0.00170, v=0
i=2000, l=0.00980, s=0.809, r=0.00167, v=0
i=2050, l=0.00797, s=0.777, r=0.00164, v=0
i=2100, l=0.00783, s=0.747, r=0.00160, v=0
i=2150, l=0.00753, s=0.738, r=0.00157, v=0
i=2200, l=0.00759, s=0.727, r=0.00154, v=0
i=2250, l=0.01025, s=0.794, r=0.00150, v=0
i=2300, l=0.00776, s=0.758, r=0.00146, v=0
i=2350, l=0.00765, s=0.720, r=0.00143, v=0
i=2400, l=0.00690, s=0.746, r=0.00139, v=0
i=2450, l=0.00723, s=0.726, r=0.00135, v=0
i=2500, l=0.00693, s=0.756, r=0.00131, v=0
i=2550, l=0.00713, s=0.735, r=0.00127, v=0
i=2600, l=0.00706, s=0.719, r=0.00123, v=0
i=2650, l=0.00697, s=0.717, r=0.00119, v=0
i=2700, l=0.00679, s=0.738, r=0.00115, v=0
i=2750, l=0.00672, s=0.746, r=0.00110, v=0
i=2800, l=0.01036, s=0.868, r=0.00106, v=0
i=2850, l=0.00786, s=0.814, r=0.00102, v=1
i=2900, l=0.00860, s=0.834, r=0.00098, v=0
i=2950, l=0.00659, s=0.756, r=0.00094, v=0
i=3000, l=0.00684, s=0.767, r=0.00090, v=0
i=3050, l=0.00702, s=0.779, r=0.00085, v=0
i=3100, l=0.00615, s=0.783, r=0.00081, v=0
i=3150, l=0.00722, s=0.810, r=0.00077, v=0
i=3200, l=0.00598, s=0.770, r=0.00073, v=0
i=3250, l=0.00595, s=0.759, r=0.00069, v=0
i=3300, l=0.00625, s=0.752, r=0.00065, v=1
i=3350, l=0.00567, s=0.734, r=0.00061, v=0
i=3400, l=0.00600, s=0.768, r=0.00057, v=0
i=3450, l=0.00579, s=0.771, r=0.00054, v=1
i=3500, l=0.00553, s=0.758, r=0.00050, v=0
i=3550, l=0.00641, s=0.760, r=0.00046, v=0
i=3600, l=0.00569, s=0.802, r=0.00043, v=0
i=3650, l=0.00584, s=0.794, r=0.00040, v=0
i=3700, l=0.00581, s=0.762, r=0.00036, v=0
i=3750, l=0.00543, s=0.769, r=0.00033, v=0
i=3800, l=0.00635, s=0.815, r=0.00030, v=3
i=3850, l=0.00568, s=0.782, r=0.00027, v=0
i=3900, l=0.00535, s=0.781, r=0.00024, v=0
i=3950, l=0.00533, s=0.799, r=0.00022, v=0
i=4000, l=0.00623, s=0.791, r=0.00019, v=0
i=4050, l=0.00525, s=0.776, r=0.00017, v=0
i=4100, l=0.00524, s=0.873, r=0.00014, v=0
i=4150, l=0.00520, s=0.778, r=0.00012, v=0
i=4200, l=0.00651, s=0.829, r=0.00010, v=0
i=4250, l=0.00537, s=0.805, r=0.00009, v=0
i=4300, l=0.00510, s=0.790, r=0.00007, v=0
i=4350, l=0.00554, s=0.820, r=0.00006, v=2
i=4400, l=0.00565, s=0.782, r=0.00004, v=3
i=4450, l=0.00650, s=0.800, r=0.00003, v=0
i=4500, l=0.00576, s=0.837, r=0.00002, v=0
i=4550, l=0.00623, s=0.814, r=0.00001, v=0
i=4600, l=0.00517, s=0.794, r=0.00001, v=0
i=4650, l=0.00570, s=0.824, r=0.00000, v=0
i=4700, l=0.00570, s=0.897, r=0.00000, v=0
i=4750, l=0.00542, s=0.808, r=0.00000, v=0
i=4800, l=0.00527, s=0.800, r=0.00000, v=0
i=4850, l=0.00541, s=0.802, r=0.00000, v=0
i=4900, l=0.00525, s=0.826, r=0.00000, v=0
i=4950, l=0.00520, s=0.806, r=0.00000, v=0
Time: 6564.817926168442
