12 ['PGE2']
tensor(0.0464, dtype=torch.float64)
i=0, l=0.30289, s=0.801, r=0.00000, v=0
i=50, l=0.28447, s=0.817, r=0.00001, v=0
i=100, l=0.21008, s=0.813, r=0.00005, v=0
i=150, l=0.14116, s=0.699, r=0.00011, v=3
i=200, l=0.07512, s=0.635, r=0.00019, v=0
i=250, l=0.05447, s=0.602, r=0.00029, v=0
i=300, l=0.04679, s=0.588, r=0.00041, v=0
i=350, l=0.04663, s=0.594, r=0.00055, v=0
i=400, l=0.04617, s=0.608, r=0.00069, v=0
i=450, l=0.04095, s=0.809, r=0.00084, v=0
i=500, l=0.02897, s=0.780, r=0.00100, v=0
i=550, l=0.02553, s=0.714, r=0.00116, v=1
i=600, l=0.02522, s=0.742, r=0.00131, v=0
i=650, l=0.02537, s=0.725, r=0.00145, v=0
i=700, l=0.02279, s=0.747, r=0.00159, v=0
i=750, l=0.01949, s=0.724, r=0.00171, v=0
i=800, l=0.01781, s=0.784, r=0.00181, v=0
i=850, l=0.01770, s=0.769, r=0.00189, v=0
i=900, l=0.01620, s=0.780, r=0.00195, v=0
i=950, l=0.01393, s=0.736, r=0.00199, v=0
i=1000, l=0.01324, s=0.759, r=0.00200, v=0
i=1050, l=0.01177, s=0.758, r=0.00200, v=0
i=1100, l=0.01148, s=0.749, r=0.00200, v=1
i=1150, l=0.01101, s=0.755, r=0.00199, v=0
i=1200, l=0.00997, s=0.756, r=0.00199, v=0
i=1250, l=0.01027, s=0.738, r=0.00198, v=1
i=1300, l=0.00914, s=0.747, r=0.00197, v=0
i=1350, l=0.00928, s=0.745, r=0.00196, v=0
i=1400, l=0.00817, s=0.746, r=0.00194, v=0
i=1450, l=0.00834, s=0.765, r=0.00193, v=0
i=1500, l=0.00810, s=0.731, r=0.00191, v=0
i=1550, l=0.00774, s=0.730, r=0.00190, v=0
i=1600, l=0.00777, s=0.733, r=0.00188, v=0
i=1650, l=0.00789, s=0.749, r=0.00186, v=1
i=1700, l=0.00776, s=0.756, r=0.00183, v=0
i=1750, l=0.00727, s=0.725, r=0.00181, v=1
i=1800, l=0.00763, s=0.747, r=0.00178, v=0
i=1850, l=0.00687, s=0.737, r=0.00176, v=0
i=1900, l=0.00690, s=0.762, r=0.00173, v=1
i=1950, l=0.00698, s=0.755, r=0.00170, v=0
i=2000, l=0.00694, s=0.756, r=0.00167, v=0
i=2050, l=0.00707, s=0.750, r=0.00164, v=0
i=2100, l=0.00662, s=0.734, r=0.00160, v=0
i=2150, l=0.00634, s=0.796, r=0.00157, v=0
i=2200, l=0.00627, s=0.748, r=0.00154, v=0
i=2250, l=0.00598, s=0.738, r=0.00150, v=0
i=2300, l=0.00593, s=0.738, r=0.00146, v=0
i=2350, l=0.00677, s=0.767, r=0.00143, v=0
i=2400, l=0.00588, s=0.756, r=0.00139, v=0
i=2450, l=0.00867, s=0.757, r=0.00135, v=2
i=2500, l=0.00632, s=0.749, r=0.00131, v=0
i=2550, l=0.00583, s=0.756, r=0.00127, v=0
i=2600, l=0.00711, s=0.810, r=0.00123, v=0
i=2650, l=0.00562, s=0.806, r=0.00119, v=0
i=2700, l=0.00582, s=0.748, r=0.00115, v=13
i=2750, l=0.00961, s=0.886, r=0.00110, v=9
i=2800, l=0.00710, s=0.803, r=0.00106, v=6
i=2850, l=0.00603, s=0.832, r=0.00102, v=0
i=2900, l=0.00527, s=0.781, r=0.00098, v=0
i=2950, l=0.00512, s=0.815, r=0.00094, v=0
i=3000, l=0.00510, s=0.800, r=0.00090, v=0
i=3050, l=0.00495, s=0.798, r=0.00085, v=0
i=3100, l=0.00467, s=0.772, r=0.00081, v=0
i=3150, l=0.02127, s=0.864, r=0.00077, v=3
i=3200, l=0.00613, s=0.825, r=0.00073, v=1
i=3250, l=0.00478, s=0.813, r=0.00069, v=0
i=3300, l=0.00460, s=0.772, r=0.00065, v=0
i=3350, l=0.00444, s=0.769, r=0.00061, v=0
i=3400, l=0.00423, s=0.769, r=0.00057, v=0
i=3450, l=0.00420, s=0.780, r=0.00054, v=0
i=3500, l=0.00397, s=0.772, r=0.00050, v=0
i=3550, l=0.00408, s=0.765, r=0.00046, v=0
i=3600, l=0.00397, s=0.783, r=0.00043, v=0
i=3650, l=0.00389, s=0.770, r=0.00040, v=0
i=3700, l=0.00392, s=0.767, r=0.00036, v=0
i=3750, l=0.00389, s=0.771, r=0.00033, v=0
i=3800, l=0.00420, s=0.778, r=0.00030, v=0
i=3850, l=0.00365, s=0.777, r=0.00027, v=0
