15 ['TNFa+PGE2']
tensor(0.0458, dtype=torch.float64)
i=0, l=0.28701, s=0.801, r=0.00000, v=0
i=50, l=0.27869, s=0.818, r=0.00001, v=0
i=100, l=0.20043, s=0.820, r=0.00005, v=0
i=150, l=0.13722, s=0.698, r=0.00011, v=0
i=200, l=0.07666, s=0.630, r=0.00019, v=2
i=250, l=0.05275, s=0.608, r=0.00029, v=1
i=300, l=0.04647, s=0.597, r=0.00041, v=0
i=350, l=0.04565, s=0.587, r=0.00055, v=0
i=400, l=0.04526, s=0.599, r=0.00069, v=0
i=450, l=0.04215, s=0.752, r=0.00084, v=1
i=500, l=0.03137, s=0.760, r=0.00100, v=0
i=550, l=0.02661, s=0.727, r=0.00116, v=1
i=600, l=0.02582, s=0.743, r=0.00131, v=0
i=650, l=0.02372, s=0.740, r=0.00145, v=0
i=700, l=0.02306, s=0.740, r=0.00159, v=0
i=750, l=0.02184, s=0.739, r=0.00171, v=0
i=800, l=0.01899, s=0.758, r=0.00181, v=0
i=850, l=0.01596, s=0.799, r=0.00189, v=0
i=900, l=0.02031, s=0.809, r=0.00195, v=0
i=950, l=0.01729, s=0.815, r=0.00199, v=0
i=1000, l=0.01515, s=0.804, r=0.00200, v=1
i=1050, l=0.01304, s=0.743, r=0.00200, v=0
i=1100, l=0.01692, s=0.753, r=0.00200, v=1
i=1150, l=0.01845, s=0.805, r=0.00199, v=1
i=1200, l=0.01345, s=0.784, r=0.00199, v=0
i=1250, l=0.01230, s=0.771, r=0.00198, v=0
i=1300, l=0.01196, s=0.786, r=0.00197, v=0
i=1350, l=0.01092, s=0.776, r=0.00196, v=0
i=1400, l=0.01158, s=0.772, r=0.00194, v=0
i=1450, l=0.01010, s=0.741, r=0.00193, v=0
i=1500, l=0.01003, s=0.746, r=0.00191, v=0
i=1550, l=0.00927, s=0.752, r=0.00190, v=1
i=1600, l=0.00865, s=0.740, r=0.00188, v=0
i=1650, l=0.00920, s=0.757, r=0.00186, v=0
i=1700, l=0.00849, s=0.764, r=0.00183, v=1
i=1750, l=0.00768, s=0.751, r=0.00181, v=1
i=1800, l=0.01806, s=0.767, r=0.00178, v=0
i=1850, l=0.00968, s=0.782, r=0.00176, v=0
i=1900, l=0.00907, s=0.776, r=0.00173, v=0
i=1950, l=0.00816, s=0.771, r=0.00170, v=0
i=2000, l=0.00772, s=0.747, r=0.00167, v=0
i=2050, l=0.00823, s=0.757, r=0.00164, v=0
i=2100, l=0.00730, s=0.778, r=0.00160, v=1
i=2150, l=0.00679, s=0.758, r=0.00157, v=0
i=2200, l=0.00669, s=0.770, r=0.00154, v=1
i=2250, l=0.00798, s=0.779, r=0.00150, v=0
i=2300, l=0.00661, s=0.791, r=0.00146, v=0
i=2350, l=0.00773, s=0.749, r=0.00143, v=0
i=2400, l=0.00597, s=0.746, r=0.00139, v=0
i=2450, l=0.00642, s=0.742, r=0.00135, v=0
i=2500, l=0.00705, s=0.744, r=0.00131, v=0
i=2550, l=0.00588, s=0.755, r=0.00127, v=0
i=2600, l=0.00572, s=0.737, r=0.00123, v=0
i=2650, l=0.00579, s=0.757, r=0.00119, v=1
i=2700, l=0.00670, s=0.764, r=0.00115, v=0
i=2750, l=0.00813, s=0.820, r=0.00110, v=0
i=2800, l=0.00889, s=0.783, r=0.00106, v=0
i=2850, l=0.00614, s=0.806, r=0.00102, v=0
i=2900, l=0.00555, s=0.777, r=0.00098, v=0
i=2950, l=0.00528, s=0.779, r=0.00094, v=0
i=3000, l=0.00830, s=0.810, r=0.00090, v=0
i=3050, l=0.00578, s=0.788, r=0.00085, v=1
i=3100, l=0.00571, s=0.761, r=0.00081, v=0
i=3150, l=0.00517, s=0.739, r=0.00077, v=0
i=3200, l=0.00851, s=0.825, r=0.00073, v=0
i=3250, l=0.00512, s=0.780, r=0.00069, v=0
i=3300, l=0.00559, s=0.761, r=0.00065, v=0
i=3350, l=0.00492, s=0.738, r=0.00061, v=0
i=3400, l=0.00505, s=0.756, r=0.00057, v=0
i=3450, l=0.00501, s=0.764, r=0.00054, v=0
i=3500, l=0.00465, s=0.765, r=0.00050, v=1
i=3550, l=0.00498, s=0.746, r=0.00046, v=0
i=3600, l=0.00492, s=0.754, r=0.00043, v=0
Backward fail (eigs left returned different eigenvalue)
i=3650, l=0.00468, s=0.757, r=0.00040, v=0
i=3700, l=0.00583, s=0.774, r=0.00036, v=0
i=3750, l=0.00493, s=0.758, r=0.00033, v=0
i=3800, l=0.00472, s=0.757, r=0.00030, v=0
i=3850, l=0.00503, s=0.766, r=0.00027, v=1
i=3900, l=0.00462, s=0.762, r=0.00024, v=0
i=3950, l=0.00476, s=0.757, r=0.00022, v=0
i=4000, l=0.00484, s=0.786, r=0.00019, v=0
i=4050, l=0.00479, s=0.770, r=0.00017, v=0
i=4100, l=0.00473, s=0.757, r=0.00014, v=0
i=4150, l=0.00528, s=0.793, r=0.00012, v=0
Backward fail (eigs left returned different eigenvalue)
i=4200, l=0.00484, s=0.772, r=0.00010, v=0
i=4250, l=0.00463, s=0.781, r=0.00009, v=0
i=4300, l=0.00473, s=0.798, r=0.00007, v=0
i=4350, l=0.00469, s=0.765, r=0.00006, v=0
i=4400, l=0.00549, s=0.859, r=0.00004, v=0
i=4450, l=0.00480, s=0.757, r=0.00003, v=0
i=4500, l=0.00460, s=0.763, r=0.00002, v=0
i=4550, l=0.00515, s=0.819, r=0.00001, v=0
i=4600, l=0.00451, s=0.771, r=0.00001, v=0
i=4650, l=0.00451, s=0.797, r=0.00000, v=0
i=4700, l=0.00453, s=0.821, r=0.00000, v=0
i=4750, l=0.00472, s=0.802, r=0.00000, v=0
i=4800, l=0.00455, s=0.792, r=0.00000, v=0
i=4850, l=0.00496, s=0.817, r=0.00000, v=0
i=4900, l=0.00466, s=0.846, r=0.00000, v=0
i=4950, l=0.00548, s=0.852, r=0.00000, v=0
Time: 7100.727504968643
