16 ['TNFa+PGE2+P3C']
tensor(0.0464, dtype=torch.float64)
i=0, l=0.29274, s=0.802, r=0.00000, v=0
i=50, l=0.28687, s=0.818, r=0.00001, v=0
i=100, l=0.20756, s=0.817, r=0.00005, v=0
i=150, l=0.13513, s=0.692, r=0.00011, v=1
i=200, l=0.07656, s=0.632, r=0.00019, v=3
i=250, l=0.05455, s=0.604, r=0.00029, v=2
i=300, l=0.04932, s=0.589, r=0.00041, v=0
i=350, l=0.04721, s=0.591, r=0.00055, v=0
i=400, l=0.04581, s=0.599, r=0.00069, v=1
i=450, l=0.04114, s=0.777, r=0.00084, v=0
i=500, l=0.03116, s=0.724, r=0.00100, v=0
i=550, l=0.02719, s=0.751, r=0.00116, v=0
i=600, l=0.02671, s=0.739, r=0.00131, v=0
i=650, l=0.02550, s=0.714, r=0.00145, v=0
i=700, l=0.02448, s=0.728, r=0.00159, v=0
i=750, l=0.02412, s=0.760, r=0.00171, v=0
i=800, l=0.01941, s=0.779, r=0.00181, v=0
i=850, l=0.01779, s=0.754, r=0.00189, v=0
i=900, l=0.01838, s=0.766, r=0.00195, v=0
i=950, l=0.01738, s=0.771, r=0.00199, v=0
i=1000, l=0.01468, s=0.765, r=0.00200, v=0
i=1050, l=0.01618, s=0.818, r=0.00200, v=0
i=1100, l=0.02129, s=0.808, r=0.00200, v=0
i=1150, l=0.01473, s=0.802, r=0.00199, v=1
i=1200, l=0.01346, s=0.810, r=0.00199, v=0
i=1250, l=0.01297, s=0.751, r=0.00198, v=1
i=1300, l=0.01206, s=0.750, r=0.00197, v=0
i=1350, l=0.01125, s=0.735, r=0.00196, v=0
i=1400, l=0.01093, s=0.746, r=0.00194, v=0
i=1450, l=0.01064, s=0.732, r=0.00193, v=0
i=1500, l=0.01019, s=0.739, r=0.00191, v=0
i=1550, l=0.01023, s=0.743, r=0.00190, v=0
i=1600, l=0.00936, s=0.761, r=0.00188, v=0
i=1650, l=0.00964, s=0.752, r=0.00186, v=0
i=1700, l=0.00944, s=0.762, r=0.00183, v=0
i=1750, l=0.00851, s=0.761, r=0.00181, v=0
Backward fail (eigs left returned different eigenvalue)
i=1800, l=0.00863, s=0.756, r=0.00178, v=0
i=1850, l=0.00761, s=0.770, r=0.00176, v=0
i=1900, l=0.00818, s=0.741, r=0.00173, v=0
i=1950, l=0.02104, s=0.838, r=0.00170, v=0
i=2000, l=0.01133, s=0.783, r=0.00167, v=1
i=2050, l=0.00768, s=0.783, r=0.00164, v=0
i=2100, l=0.00755, s=0.757, r=0.00160, v=0
i=2150, l=0.01132, s=0.749, r=0.00157, v=1
i=2200, l=0.00879, s=0.730, r=0.00154, v=0
i=2250, l=0.00718, s=0.751, r=0.00150, v=0
i=2300, l=0.00717, s=0.747, r=0.00146, v=0
i=2350, l=0.00841, s=0.754, r=0.00143, v=0
i=2400, l=0.00707, s=0.736, r=0.00139, v=0
i=2450, l=0.00783, s=0.754, r=0.00135, v=0
i=2500, l=0.00654, s=0.731, r=0.00131, v=0
i=2550, l=0.00695, s=0.734, r=0.00127, v=0
i=2600, l=0.00652, s=0.736, r=0.00123, v=0
i=2650, l=0.00644, s=0.735, r=0.00119, v=0
i=2700, l=0.00775, s=0.795, r=0.00115, v=0
i=2750, l=0.00695, s=0.763, r=0.00110, v=0
i=2800, l=0.00738, s=0.765, r=0.00106, v=0
i=2850, l=0.00629, s=0.735, r=0.00102, v=0
i=2900, l=0.00644, s=0.749, r=0.00098, v=0
i=2950, l=0.00815, s=0.798, r=0.00094, v=0
i=3000, l=0.00628, s=0.737, r=0.00090, v=1
i=3050, l=0.00654, s=0.759, r=0.00085, v=0
i=3100, l=0.00599, s=0.734, r=0.00081, v=0
i=3150, l=0.00595, s=0.738, r=0.00077, v=0
i=3200, l=0.00618, s=0.759, r=0.00073, v=0
i=3250, l=0.00596, s=0.740, r=0.00069, v=0
i=3300, l=0.00597, s=0.746, r=0.00065, v=0
i=3350, l=0.00700, s=0.749, r=0.00061, v=1
i=3400, l=0.00709, s=0.795, r=0.00057, v=15
i=3450, l=0.00630, s=0.758, r=0.00054, v=0
i=3500, l=0.00623, s=0.733, r=0.00050, v=0
i=3550, l=0.00578, s=0.755, r=0.00046, v=0
i=3600, l=0.00583, s=0.760, r=0.00043, v=0
i=3650, l=0.00564, s=0.758, r=0.00040, v=0
i=3700, l=0.00564, s=0.752, r=0.00036, v=0
i=3750, l=0.00605, s=0.749, r=0.00033, v=0
i=3800, l=0.00591, s=0.740, r=0.00030, v=0
i=3850, l=0.00567, s=0.762, r=0.00027, v=0
i=3900, l=0.00614, s=0.744, r=0.00024, v=0
i=3950, l=0.00566, s=0.748, r=0.00022, v=0
i=4000, l=0.00664, s=0.743, r=0.00019, v=0
i=4050, l=0.00591, s=0.752, r=0.00017, v=0
i=4100, l=0.00564, s=0.746, r=0.00014, v=0
i=4150, l=0.00674, s=0.761, r=0.00012, v=0
i=4200, l=0.00613, s=0.763, r=0.00010, v=0
i=4250, l=0.00639, s=0.782, r=0.00009, v=0
i=4300, l=0.00605, s=0.744, r=0.00007, v=0
i=4350, l=0.00601, s=0.749, r=0.00006, v=0
i=4400, l=0.00656, s=0.755, r=0.00004, v=0
Backward fail (eigs left returned different eigenvalue)
i=4450, l=0.00564, s=0.759, r=0.00003, v=0
i=4500, l=0.00605, s=0.762, r=0.00002, v=0
i=4550, l=0.00620, s=0.774, r=0.00001, v=0
i=4600, l=0.00571, s=0.746, r=0.00001, v=0
i=4650, l=0.00754, s=0.740, r=0.00000, v=0
i=4700, l=0.00592, s=0.762, r=0.00000, v=0
i=4750, l=0.00597, s=0.742, r=0.00000, v=0
i=4800, l=0.00589, s=0.753, r=0.00000, v=0
i=4850, l=0.00560, s=0.751, r=0.00000, v=0
i=4900, l=0.00603, s=0.744, r=0.00000, v=0
i=4950, l=0.00574, s=0.746, r=0.00000, v=0
Time: 7047.923665046692
