/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: divide by zero encountered in true_divide
  rd = 1 / (d - self.sigma)
/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: invalid value encountered in true_divide
  rd = 1 / (d - self.sigma)
17 ['upLPS']
tensor(0.0475, dtype=torch.float64)
i=0, l=0.29423, s=0.802, r=0.00000, v=0
i=50, l=0.28525, s=0.818, r=0.00001, v=0
i=100, l=0.20898, s=0.815, r=0.00005, v=0
i=150, l=0.14008, s=0.690, r=0.00011, v=1
i=200, l=0.07739, s=0.632, r=0.00019, v=2
i=250, l=0.05483, s=0.603, r=0.00029, v=0
i=300, l=0.04823, s=0.599, r=0.00041, v=0
i=350, l=0.04798, s=0.589, r=0.00055, v=0
i=400, l=0.04589, s=0.603, r=0.00069, v=0
i=450, l=0.04264, s=0.795, r=0.00084, v=0
i=500, l=0.03306, s=0.811, r=0.00100, v=0
i=550, l=0.02590, s=0.762, r=0.00116, v=1
i=600, l=0.02752, s=0.728, r=0.00131, v=1
i=650, l=0.02850, s=0.757, r=0.00145, v=2
i=700, l=0.02697, s=0.768, r=0.00159, v=0
i=750, l=0.02228, s=0.749, r=0.00171, v=0
i=800, l=0.02158, s=0.755, r=0.00181, v=0
i=850, l=0.01754, s=0.765, r=0.00189, v=0
i=900, l=0.01658, s=0.781, r=0.00195, v=0
i=950, l=0.01550, s=0.789, r=0.00199, v=0
i=1000, l=0.01433, s=0.770, r=0.00200, v=0
i=1050, l=0.01382, s=0.769, r=0.00200, v=0
i=1100, l=0.01248, s=0.742, r=0.00200, v=0
i=1150, l=0.01126, s=0.746, r=0.00199, v=0
i=1200, l=0.01074, s=0.762, r=0.00199, v=0
i=1250, l=0.01067, s=0.743, r=0.00198, v=1
i=1300, l=0.01004, s=0.748, r=0.00197, v=0
i=1350, l=0.01158, s=0.782, r=0.00196, v=0
i=1400, l=0.00992, s=0.732, r=0.00194, v=0
i=1450, l=0.00897, s=0.738, r=0.00193, v=0
i=1500, l=0.00901, s=0.761, r=0.00191, v=0
i=1550, l=0.00841, s=0.732, r=0.00190, v=0
i=1600, l=0.00861, s=0.797, r=0.00188, v=0
i=1650, l=0.00724, s=0.727, r=0.00186, v=0
i=1700, l=0.00753, s=0.765, r=0.00183, v=0
i=1750, l=0.00845, s=0.750, r=0.00181, v=0
i=1800, l=0.00713, s=0.733, r=0.00178, v=0
i=1850, l=0.00719, s=0.736, r=0.00176, v=1
i=1900, l=0.00647, s=0.768, r=0.00173, v=0
i=1950, l=0.00669, s=0.731, r=0.00170, v=0
i=2000, l=0.00609, s=0.757, r=0.00167, v=0
i=2050, l=0.00612, s=0.750, r=0.00164, v=0
i=2100, l=0.00597, s=0.738, r=0.00160, v=0
i=2150, l=0.00570, s=0.727, r=0.00157, v=0
i=2200, l=0.00628, s=0.758, r=0.00154, v=0
i=2250, l=0.00582, s=0.754, r=0.00150, v=0
i=2300, l=0.00561, s=0.739, r=0.00146, v=0
i=2350, l=0.00573, s=0.745, r=0.00143, v=1
i=2400, l=0.00642, s=0.752, r=0.00139, v=0
i=2450, l=0.00533, s=0.749, r=0.00135, v=0
i=2500, l=0.00544, s=0.752, r=0.00131, v=0
i=2550, l=0.00531, s=0.753, r=0.00127, v=0
i=2600, l=0.00530, s=0.774, r=0.00123, v=0
i=2650, l=0.00502, s=0.756, r=0.00119, v=0
i=2700, l=0.00498, s=0.781, r=0.00115, v=0
i=2750, l=0.00485, s=0.755, r=0.00110, v=0
i=2800, l=0.00480, s=0.766, r=0.00106, v=1
i=2850, l=0.00499, s=0.748, r=0.00102, v=0
i=2900, l=0.00487, s=0.733, r=0.00098, v=0
i=2950, l=0.00552, s=0.776, r=0.00094, v=0
i=3000, l=0.00474, s=0.779, r=0.00090, v=0
i=3050, l=0.00468, s=0.780, r=0.00085, v=0
i=3100, l=0.00460, s=0.750, r=0.00081, v=0
i=3150, l=0.00467, s=0.741, r=0.00077, v=1
i=3200, l=0.00449, s=0.764, r=0.00073, v=0
i=3250, l=0.00430, s=0.745, r=0.00069, v=0
i=3300, l=0.00463, s=0.765, r=0.00065, v=0
i=3350, l=0.00441, s=0.749, r=0.00061, v=0
i=3400, l=0.00418, s=0.746, r=0.00057, v=0
i=3450, l=0.00479, s=0.758, r=0.00054, v=0
i=3500, l=0.00417, s=0.751, r=0.00050, v=0
i=3550, l=0.00442, s=0.761, r=0.00046, v=0
i=3600, l=0.00431, s=0.750, r=0.00043, v=0
i=3650, l=0.00400, s=0.754, r=0.00040, v=0
i=3700, l=0.00401, s=0.751, r=0.00036, v=0
i=3750, l=0.00404, s=0.734, r=0.00033, v=0
i=3800, l=0.00402, s=0.754, r=0.00030, v=0
i=3850, l=0.00402, s=0.754, r=0.00027, v=0
i=3900, l=0.00482, s=0.727, r=0.00024, v=0
i=3950, l=0.00410, s=0.788, r=0.00022, v=0
i=4000, l=0.00409, s=0.771, r=0.00019, v=0
i=4050, l=0.00383, s=0.799, r=0.00017, v=1
i=4100, l=0.00412, s=0.761, r=0.00014, v=0
i=4150, l=0.00406, s=0.750, r=0.00012, v=0
i=4200, l=0.00445, s=0.752, r=0.00010, v=0
i=4250, l=0.00406, s=0.733, r=0.00009, v=0
i=4300, l=0.00389, s=0.776, r=0.00007, v=0
