18 ['upLPS+IC']
tensor(0.0458, dtype=torch.float64)
i=0, l=0.28877, s=0.802, r=0.00000, v=0
i=50, l=0.28333, s=0.819, r=0.00001, v=0
i=100, l=0.20437, s=0.809, r=0.00005, v=0
i=150, l=0.13860, s=0.704, r=0.00011, v=0
i=200, l=0.07690, s=0.635, r=0.00019, v=1
i=250, l=0.05310, s=0.606, r=0.00029, v=1
i=300, l=0.04681, s=0.587, r=0.00041, v=0
i=350, l=0.04606, s=0.589, r=0.00055, v=0
i=400, l=0.04478, s=0.606, r=0.00069, v=0
i=450, l=0.03770, s=0.868, r=0.00084, v=0
i=500, l=0.03075, s=0.776, r=0.00100, v=0
i=550, l=0.02625, s=0.715, r=0.00116, v=0
i=600, l=0.02620, s=0.740, r=0.00131, v=1
i=650, l=0.02433, s=0.719, r=0.00145, v=0
i=700, l=0.02259, s=0.740, r=0.00159, v=0
i=750, l=0.02078, s=0.759, r=0.00171, v=0
i=800, l=0.01744, s=0.743, r=0.00181, v=0
i=850, l=0.01657, s=0.734, r=0.00189, v=0
i=900, l=0.01539, s=0.756, r=0.00195, v=0
i=950, l=0.01268, s=0.739, r=0.00199, v=0
i=1000, l=0.01230, s=0.754, r=0.00200, v=1
i=1050, l=0.01093, s=0.739, r=0.00200, v=0
i=1100, l=0.01036, s=0.755, r=0.00200, v=0
i=1150, l=0.01079, s=0.734, r=0.00199, v=0
Backward fail (eigs left returned different eigenvalue)
i=1200, l=0.00967, s=0.761, r=0.00199, v=0
i=1250, l=0.00916, s=0.754, r=0.00198, v=2
i=1300, l=0.00807, s=0.745, r=0.00197, v=0
i=1350, l=0.00900, s=0.744, r=0.00196, v=0
i=1400, l=0.00809, s=0.737, r=0.00194, v=0
i=1450, l=0.00813, s=0.766, r=0.00193, v=0
i=1500, l=0.00824, s=0.740, r=0.00191, v=0
i=1550, l=0.00756, s=0.743, r=0.00190, v=1
i=1600, l=0.00715, s=0.750, r=0.00188, v=0
i=1650, l=0.00708, s=0.739, r=0.00186, v=1
i=1700, l=0.00702, s=0.737, r=0.00183, v=0
i=1750, l=0.00691, s=0.744, r=0.00181, v=0
i=1800, l=0.00635, s=0.749, r=0.00178, v=0
i=1850, l=0.00639, s=0.740, r=0.00176, v=0
i=1900, l=0.00688, s=0.728, r=0.00173, v=0
i=1950, l=0.00729, s=0.745, r=0.00170, v=1
i=2000, l=0.00809, s=0.778, r=0.00167, v=0
i=2050, l=0.00970, s=0.775, r=0.00164, v=0
i=2100, l=0.00668, s=0.752, r=0.00160, v=0
i=2150, l=0.00628, s=0.754, r=0.00157, v=1
i=2200, l=0.00642, s=0.732, r=0.00154, v=0
i=2250, l=0.00615, s=0.760, r=0.00150, v=0
i=2300, l=0.00625, s=0.751, r=0.00146, v=0
i=2350, l=0.00612, s=0.753, r=0.00143, v=0
i=2400, l=0.00610, s=0.760, r=0.00139, v=0
i=2450, l=0.00585, s=0.744, r=0.00135, v=0
i=2500, l=0.00617, s=0.796, r=0.00131, v=0
i=2550, l=0.00678, s=0.778, r=0.00127, v=0
i=2600, l=0.00944, s=0.800, r=0.00123, v=0
i=2650, l=0.00615, s=0.802, r=0.00119, v=0
i=2700, l=0.00621, s=0.784, r=0.00115, v=0
i=2750, l=0.00551, s=0.793, r=0.00110, v=0
i=2800, l=0.00600, s=0.766, r=0.00106, v=0
i=2850, l=0.00576, s=0.785, r=0.00102, v=0
i=2900, l=0.00539, s=0.755, r=0.00098, v=0
i=2950, l=0.00575, s=0.782, r=0.00094, v=1
i=3000, l=0.00617, s=0.760, r=0.00090, v=0
i=3050, l=0.00576, s=0.779, r=0.00085, v=0
i=3100, l=0.00562, s=0.744, r=0.00081, v=0
i=3150, l=0.00534, s=0.755, r=0.00077, v=0
i=3200, l=0.00549, s=0.780, r=0.00073, v=0
i=3250, l=0.00531, s=0.772, r=0.00069, v=1
i=3300, l=0.00507, s=0.788, r=0.00065, v=0
i=3350, l=0.00650, s=0.760, r=0.00061, v=0
i=3400, l=0.00495, s=0.744, r=0.00057, v=0
i=3450, l=0.01122, s=0.871, r=0.00054, v=1
i=3500, l=0.00603, s=0.807, r=0.00050, v=0
i=3550, l=0.00572, s=0.842, r=0.00046, v=0
i=3600, l=0.00524, s=0.809, r=0.00043, v=0
i=3650, l=0.00485, s=0.793, r=0.00040, v=0
i=3700, l=0.00504, s=0.745, r=0.00036, v=0
i=3750, l=0.00484, s=0.772, r=0.00033, v=0
i=3800, l=0.00502, s=0.759, r=0.00030, v=0
i=3850, l=0.00472, s=0.764, r=0.00027, v=0
i=3900, l=0.00469, s=0.747, r=0.00024, v=0
i=3950, l=0.00527, s=0.742, r=0.00022, v=0
i=4000, l=0.00566, s=0.731, r=0.00019, v=0
i=4050, l=0.00458, s=0.747, r=0.00017, v=0
i=4100, l=0.00465, s=0.750, r=0.00014, v=0
i=4150, l=0.00471, s=0.760, r=0.00012, v=0
i=4200, l=0.00462, s=0.753, r=0.00010, v=0
i=4250, l=0.00455, s=0.746, r=0.00009, v=0
i=4300, l=0.00461, s=0.742, r=0.00007, v=0
i=4350, l=0.00490, s=0.745, r=0.00006, v=0
i=4400, l=0.00560, s=0.751, r=0.00004, v=0
i=4450, l=0.00457, s=0.755, r=0.00003, v=0
Backward fail (eigs left returned different eigenvalue)
i=4500, l=0.00471, s=0.739, r=0.00002, v=0
i=4550, l=0.00475, s=0.746, r=0.00001, v=0
i=4600, l=0.00491, s=0.758, r=0.00001, v=0
i=4650, l=0.00573, s=0.747, r=0.00000, v=0
i=4700, l=0.00463, s=0.762, r=0.00000, v=0
i=4750, l=0.00458, s=0.751, r=0.00000, v=0
i=4800, l=0.00472, s=0.742, r=0.00000, v=0
i=4850, l=0.00473, s=0.751, r=0.00000, v=0
i=4900, l=0.00471, s=0.752, r=0.00000, v=0
i=4950, l=0.00480, s=0.748, r=0.00000, v=0
Time: 7131.713391304016
