/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: divide by zero encountered in true_divide
  rd = 1 / (d - self.sigma)
/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: invalid value encountered in true_divide
  rd = 1 / (d - self.sigma)
19 ['upLPS+IFNg']
tensor(0.0459, dtype=torch.float64)
i=0, l=0.28479, s=0.801, r=0.00000, v=0
i=50, l=0.28259, s=0.818, r=0.00001, v=0
i=100, l=0.20617, s=0.814, r=0.00005, v=0
i=150, l=0.13768, s=0.705, r=0.00011, v=0
i=200, l=0.07427, s=0.630, r=0.00019, v=0
i=250, l=0.05361, s=0.611, r=0.00029, v=1
i=300, l=0.04607, s=0.596, r=0.00041, v=1
i=350, l=0.04588, s=0.602, r=0.00055, v=1
i=400, l=0.04634, s=0.630, r=0.00069, v=0
i=450, l=0.03652, s=0.745, r=0.00084, v=0
i=500, l=0.03142, s=0.739, r=0.00100, v=0
i=550, l=0.02590, s=0.748, r=0.00116, v=0
i=600, l=0.02778, s=0.717, r=0.00131, v=0
i=650, l=0.02523, s=0.738, r=0.00145, v=0
i=700, l=0.02348, s=0.724, r=0.00159, v=0
i=750, l=0.02187, s=0.752, r=0.00171, v=0
i=800, l=0.02347, s=0.863, r=0.00181, v=16
i=850, l=0.02172, s=0.822, r=0.00189, v=0
i=900, l=0.02066, s=0.770, r=0.00195, v=0
i=950, l=0.01814, s=0.775, r=0.00199, v=0
i=1000, l=0.01638, s=0.772, r=0.00200, v=0
i=1050, l=0.01635, s=0.783, r=0.00200, v=0
i=1100, l=0.01544, s=0.779, r=0.00200, v=0
i=1150, l=0.01407, s=0.769, r=0.00199, v=0
i=1200, l=0.01306, s=0.778, r=0.00199, v=0
i=1250, l=0.01169, s=0.801, r=0.00198, v=0
i=1300, l=0.01167, s=0.752, r=0.00197, v=0
i=1350, l=0.01019, s=0.762, r=0.00196, v=0
i=1400, l=0.01110, s=0.735, r=0.00194, v=0
i=1450, l=0.01105, s=0.747, r=0.00193, v=0
i=1500, l=0.02312, s=0.804, r=0.00191, v=42
i=1550, l=0.01238, s=0.802, r=0.00190, v=2
i=1600, l=0.01117, s=0.786, r=0.00188, v=1
i=1650, l=0.01095, s=0.775, r=0.00186, v=1
i=1700, l=0.00916, s=0.773, r=0.00183, v=0
i=1750, l=0.01020, s=0.760, r=0.00181, v=0
i=1800, l=0.01310, s=0.783, r=0.00178, v=0
i=1850, l=0.00923, s=0.756, r=0.00176, v=1
Backward fail (eigs left returned different eigenvalue)
i=1900, l=0.00892, s=0.752, r=0.00173, v=0
i=1950, l=0.00847, s=0.774, r=0.00170, v=0
i=2000, l=0.00833, s=0.760, r=0.00167, v=0
i=2050, l=0.01785, s=0.836, r=0.00164, v=0
i=2100, l=0.01008, s=0.798, r=0.00160, v=1
i=2150, l=0.00873, s=0.768, r=0.00157, v=0
i=2200, l=0.00809, s=0.776, r=0.00154, v=1
i=2250, l=0.00791, s=0.790, r=0.00150, v=0
i=2300, l=0.00737, s=0.779, r=0.00146, v=0
i=2350, l=0.00680, s=0.777, r=0.00143, v=0
i=2400, l=0.00872, s=0.763, r=0.00139, v=0
i=2450, l=0.00770, s=0.755, r=0.00135, v=0
i=2500, l=0.00639, s=0.760, r=0.00131, v=0
