/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: divide by zero encountered in true_divide
  rd = 1 / (d - self.sigma)
/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: invalid value encountered in true_divide
  rd = 1 / (d - self.sigma)
6 ['IL4']
tensor(0.0454, dtype=torch.float64)
i=0, l=0.29328, s=0.802, r=0.00000, v=0
i=50, l=0.29374, s=0.818, r=0.00001, v=0
i=100, l=0.20878, s=0.806, r=0.00005, v=0
i=150, l=0.13609, s=0.695, r=0.00011, v=0
i=200, l=0.07316, s=0.633, r=0.00019, v=1
i=250, l=0.05252, s=0.594, r=0.00029, v=1
i=300, l=0.04631, s=0.592, r=0.00041, v=0
i=350, l=0.04508, s=0.589, r=0.00055, v=0
i=400, l=0.04443, s=0.601, r=0.00069, v=0
i=450, l=0.04196, s=0.755, r=0.00084, v=0
i=500, l=0.02788, s=0.796, r=0.00100, v=0
i=550, l=0.02643, s=0.729, r=0.00116, v=0
i=600, l=0.02439, s=0.735, r=0.00131, v=0
i=650, l=0.02344, s=0.714, r=0.00145, v=0
i=700, l=0.02268, s=0.741, r=0.00159, v=0
i=750, l=0.02163, s=0.725, r=0.00171, v=0
i=800, l=0.01986, s=0.757, r=0.00181, v=0
i=850, l=0.01937, s=0.784, r=0.00189, v=0
i=900, l=0.01829, s=0.775, r=0.00195, v=0
i=950, l=0.01669, s=0.809, r=0.00199, v=0
i=1000, l=0.01700, s=0.787, r=0.00200, v=0
i=1050, l=0.01470, s=0.744, r=0.00200, v=0
i=1100, l=0.01337, s=0.767, r=0.00200, v=0
i=1150, l=0.01262, s=0.777, r=0.00199, v=1
i=1200, l=0.01197, s=0.753, r=0.00199, v=1
i=1250, l=0.01090, s=0.753, r=0.00198, v=1
i=1300, l=0.00999, s=0.770, r=0.00197, v=0
i=1350, l=0.00966, s=0.760, r=0.00196, v=0
i=1400, l=0.01215, s=0.737, r=0.00194, v=0
i=1450, l=0.00974, s=0.753, r=0.00193, v=1
i=1500, l=0.00891, s=0.759, r=0.00191, v=0
i=1550, l=0.00803, s=0.738, r=0.00190, v=1
i=1600, l=0.00795, s=0.731, r=0.00188, v=0
i=1650, l=0.00846, s=0.731, r=0.00186, v=0
i=1700, l=0.00794, s=0.762, r=0.00183, v=0
i=1750, l=0.00811, s=0.738, r=0.00181, v=1
i=1800, l=0.00743, s=0.740, r=0.00178, v=0
i=1850, l=0.00830, s=0.774, r=0.00176, v=1
i=1900, l=0.00851, s=0.749, r=0.00173, v=0
i=1950, l=0.00805, s=0.738, r=0.00170, v=0
i=2000, l=0.00717, s=0.734, r=0.00167, v=0
i=2050, l=0.00678, s=0.795, r=0.00164, v=0
i=2100, l=0.02199, s=0.822, r=0.00160, v=33
i=2150, l=0.02298, s=0.783, r=0.00157, v=25
i=2200, l=0.02269, s=0.809, r=0.00154, v=17
i=2250, l=0.01778, s=0.856, r=0.00150, v=0
i=2300, l=0.01789, s=0.836, r=0.00146, v=0
i=2350, l=0.01894, s=0.833, r=0.00143, v=0
i=2400, l=0.01439, s=0.795, r=0.00139, v=0
i=2450, l=0.01443, s=0.850, r=0.00135, v=1
i=2500, l=0.02073, s=0.805, r=0.00131, v=0
i=2550, l=0.01794, s=0.783, r=0.00127, v=0
i=2600, l=0.01441, s=0.815, r=0.00123, v=0
