9 ['LPSc+IC']
tensor(0.0453, dtype=torch.float64)
i=0, l=0.28323, s=0.802, r=0.00000, v=0
i=50, l=0.28464, s=0.818, r=0.00001, v=0
i=100, l=0.20580, s=0.809, r=0.00005, v=0
i=150, l=0.13767, s=0.696, r=0.00011, v=1
i=200, l=0.07474, s=0.633, r=0.00019, v=3
i=250, l=0.05214, s=0.608, r=0.00029, v=0
i=300, l=0.04588, s=0.598, r=0.00041, v=0
i=350, l=0.04609, s=0.593, r=0.00055, v=0
i=400, l=0.04545, s=0.605, r=0.00069, v=0
i=450, l=0.03936, s=0.742, r=0.00084, v=1
i=500, l=0.03091, s=0.803, r=0.00100, v=0
i=550, l=0.02802, s=0.740, r=0.00116, v=0
i=600, l=0.02732, s=0.763, r=0.00131, v=0
i=650, l=0.02630, s=0.754, r=0.00145, v=0
i=700, l=0.02281, s=0.735, r=0.00159, v=1
i=750, l=0.02371, s=0.728, r=0.00171, v=0
i=800, l=0.02145, s=0.759, r=0.00181, v=0
i=850, l=0.01809, s=0.776, r=0.00189, v=0
i=900, l=0.02725, s=0.801, r=0.00195, v=2
i=950, l=0.01532, s=0.739, r=0.00199, v=1
i=1000, l=0.01511, s=0.748, r=0.00200, v=0
i=1050, l=0.01251, s=0.737, r=0.00200, v=0
i=1100, l=0.01228, s=0.759, r=0.00200, v=0
i=1150, l=0.01162, s=0.743, r=0.00199, v=0
i=1200, l=0.01088, s=0.762, r=0.00199, v=0
i=1250, l=0.00982, s=0.754, r=0.00198, v=0
i=1300, l=0.00974, s=0.747, r=0.00197, v=0
i=1350, l=0.00965, s=0.767, r=0.00196, v=0
i=1400, l=0.00910, s=0.735, r=0.00194, v=0
i=1450, l=0.00860, s=0.745, r=0.00193, v=0
i=1500, l=0.00766, s=0.741, r=0.00191, v=0
i=1550, l=0.00766, s=0.755, r=0.00190, v=0
i=1600, l=0.00871, s=0.741, r=0.00188, v=0
i=1650, l=0.00837, s=0.727, r=0.00186, v=0
i=1700, l=0.00678, s=0.747, r=0.00183, v=0
i=1750, l=0.00662, s=0.737, r=0.00181, v=0
i=1800, l=0.00654, s=0.736, r=0.00178, v=0
i=1850, l=0.00674, s=0.778, r=0.00176, v=0
i=1900, l=0.00625, s=0.746, r=0.00173, v=0
i=1950, l=0.00864, s=0.798, r=0.00170, v=1
i=2000, l=0.00775, s=0.760, r=0.00167, v=0
i=2050, l=0.00737, s=0.798, r=0.00164, v=2
i=2100, l=0.00780, s=0.767, r=0.00160, v=0
i=2150, l=0.00592, s=0.771, r=0.00157, v=0
i=2200, l=0.00607, s=0.754, r=0.00154, v=0
i=2250, l=0.00603, s=0.748, r=0.00150, v=0
i=2300, l=0.00607, s=0.779, r=0.00146, v=0
i=2350, l=0.00629, s=0.784, r=0.00143, v=0
i=2400, l=0.00607, s=0.753, r=0.00139, v=0
i=2450, l=0.00703, s=0.751, r=0.00135, v=4
i=2500, l=0.00598, s=0.759, r=0.00131, v=0
i=2550, l=0.00584, s=0.757, r=0.00127, v=0
i=2600, l=0.00594, s=0.741, r=0.00123, v=0
i=2650, l=0.00600, s=0.941, r=0.00119, v=2
i=2700, l=0.00534, s=0.749, r=0.00115, v=2
i=2750, l=0.00582, s=0.754, r=0.00110, v=0
i=2800, l=0.00512, s=0.728, r=0.00106, v=0
i=2850, l=0.00515, s=0.783, r=0.00102, v=1
i=2900, l=0.00495, s=0.777, r=0.00098, v=0
i=2950, l=0.00589, s=0.763, r=0.00094, v=0
i=3000, l=0.00554, s=0.750, r=0.00090, v=0
i=3050, l=0.00506, s=0.756, r=0.00085, v=0
i=3100, l=0.00504, s=0.749, r=0.00081, v=1
i=3150, l=0.00578, s=0.746, r=0.00077, v=0
i=3200, l=0.00590, s=0.746, r=0.00073, v=1
i=3250, l=0.00485, s=0.792, r=0.00069, v=0
i=3300, l=0.00514, s=0.779, r=0.00065, v=0
i=3350, l=0.00503, s=0.750, r=0.00061, v=1
i=3400, l=0.00469, s=0.742, r=0.00057, v=0
i=3450, l=0.00464, s=0.747, r=0.00054, v=0
i=3500, l=0.00484, s=0.729, r=0.00050, v=0
i=3550, l=0.00458, s=0.748, r=0.00046, v=0
