0 ['CON']
tensor(0.0465, dtype=torch.float64)
i=0, l=0.28827, s=0.802, r=0.00000, v=0
i=50, l=0.27759, s=0.819, r=0.00001, v=0
i=100, l=0.21346, s=0.820, r=0.00005, v=0
i=150, l=0.14094, s=0.692, r=0.00011, v=0
i=200, l=0.07629, s=0.630, r=0.00019, v=2
i=250, l=0.05539, s=0.601, r=0.00029, v=0
i=300, l=0.04668, s=0.584, r=0.00041, v=1
i=350, l=0.04713, s=0.589, r=0.00055, v=0
i=400, l=0.04607, s=0.595, r=0.00069, v=0
i=450, l=0.04626, s=0.617, r=0.00084, v=0
i=500, l=0.04669, s=0.659, r=0.00100, v=0
i=550, l=0.04867, s=0.653, r=0.00116, v=0
i=600, l=0.04646, s=0.658, r=0.00131, v=0
i=650, l=0.04615, s=0.699, r=0.00145, v=0
i=700, l=0.04268, s=0.775, r=0.00159, v=0
i=750, l=0.03953, s=0.777, r=0.00171, v=1
i=800, l=0.04110, s=0.742, r=0.00181, v=0
i=850, l=0.03531, s=0.793, r=0.00189, v=0
i=900, l=0.03729, s=0.765, r=0.00195, v=0
i=950, l=0.03387, s=0.745, r=0.00199, v=0
i=1000, l=0.03443, s=0.767, r=0.00200, v=0
i=1050, l=0.03235, s=0.768, r=0.00200, v=0
i=1100, l=0.03338, s=0.731, r=0.00200, v=0
i=1150, l=0.03317, s=0.732, r=0.00199, v=0
i=1200, l=0.03020, s=0.725, r=0.00199, v=0
i=1250, l=0.03198, s=0.734, r=0.00198, v=0
i=1300, l=0.03184, s=0.756, r=0.00197, v=0
i=1350, l=0.03165, s=0.743, r=0.00196, v=0
i=1400, l=0.02768, s=0.749, r=0.00194, v=0
i=1450, l=0.03308, s=0.770, r=0.00193, v=0
i=1500, l=0.02882, s=0.758, r=0.00191, v=1
i=1550, l=0.03229, s=0.780, r=0.00190, v=0
i=1600, l=0.02848, s=0.820, r=0.00188, v=0
i=1650, l=0.02614, s=0.749, r=0.00186, v=0
i=1700, l=0.02742, s=0.756, r=0.00183, v=0
i=1750, l=0.03033, s=0.730, r=0.00181, v=0
i=1800, l=0.03097, s=0.790, r=0.00178, v=1
i=1850, l=0.02452, s=0.799, r=0.00176, v=0
i=1900, l=0.02455, s=0.768, r=0.00173, v=0
i=1950, l=0.02168, s=0.794, r=0.00170, v=0
i=2000, l=0.03508, s=0.847, r=0.00167, v=1
i=2050, l=0.01968, s=0.819, r=0.00164, v=2
i=2100, l=0.02348, s=0.811, r=0.00160, v=0
i=2150, l=0.02479, s=0.802, r=0.00157, v=1
i=2200, l=0.02450, s=0.814, r=0.00154, v=0
i=2250, l=0.02757, s=0.818, r=0.00150, v=0
i=2300, l=0.01842, s=0.820, r=0.00146, v=1
i=2350, l=0.01720, s=0.802, r=0.00143, v=0
i=2400, l=0.02072, s=0.786, r=0.00139, v=0
i=2450, l=0.01539, s=0.783, r=0.00135, v=1
i=2500, l=0.02102, s=0.860, r=0.00131, v=0
i=2550, l=0.01603, s=0.788, r=0.00127, v=0
i=2600, l=0.01600, s=0.774, r=0.00123, v=0
i=2650, l=0.01561, s=0.783, r=0.00119, v=0
i=2700, l=0.01470, s=0.775, r=0.00115, v=0
i=2750, l=0.01437, s=0.783, r=0.00110, v=0
i=2800, l=0.01501, s=0.783, r=0.00106, v=0
i=2850, l=0.01559, s=0.773, r=0.00102, v=0
i=2900, l=0.01751, s=0.785, r=0.00098, v=0
i=2950, l=0.01327, s=0.762, r=0.00094, v=0
i=3000, l=0.01330, s=0.760, r=0.00090, v=0
i=3050, l=0.01309, s=0.786, r=0.00085, v=0
i=3100, l=0.01430, s=0.792, r=0.00081, v=0
i=3150, l=0.01563, s=0.785, r=0.00077, v=0
i=3200, l=0.01385, s=0.762, r=0.00073, v=0
i=3250, l=0.01244, s=0.778, r=0.00069, v=0
i=3300, l=0.01278, s=0.774, r=0.00065, v=0
i=3350, l=0.01247, s=0.752, r=0.00061, v=0
i=3400, l=0.01281, s=0.778, r=0.00057, v=0
i=3450, l=0.01590, s=0.817, r=0.00054, v=1
i=3500, l=0.01275, s=0.815, r=0.00050, v=0
i=3550, l=0.01547, s=0.765, r=0.00046, v=1
i=3600, l=0.01249, s=0.785, r=0.00043, v=0
i=3650, l=0.01360, s=0.810, r=0.00040, v=0
i=3700, l=0.01299, s=0.779, r=0.00036, v=0
i=3750, l=0.01182, s=0.803, r=0.00033, v=0
i=3800, l=0.01496, s=0.811, r=0.00030, v=0
i=3850, l=0.01409, s=0.862, r=0.00027, v=0
i=3900, l=0.01126, s=0.784, r=0.00024, v=0
i=3950, l=0.01323, s=0.803, r=0.00022, v=0
i=4000, l=0.01116, s=0.823, r=0.00019, v=0
i=4050, l=0.01102, s=0.831, r=0.00017, v=0
i=4100, l=0.01110, s=0.835, r=0.00014, v=0
i=4150, l=0.01065, s=0.801, r=0.00012, v=0
i=4200, l=0.01180, s=0.820, r=0.00010, v=0
i=4250, l=0.01068, s=0.829, r=0.00009, v=1
i=4300, l=0.01099, s=0.826, r=0.00007, v=0
i=4350, l=0.01286, s=0.819, r=0.00006, v=0
i=4400, l=0.01059, s=0.806, r=0.00004, v=0
i=4450, l=0.01345, s=0.809, r=0.00003, v=0
i=4500, l=0.01061, s=0.817, r=0.00002, v=0
i=4550, l=0.01038, s=0.816, r=0.00001, v=0
i=4600, l=0.01215, s=0.801, r=0.00001, v=0
i=4650, l=0.01041, s=0.811, r=0.00000, v=0
i=4700, l=0.01174, s=0.828, r=0.00000, v=0
i=4750, l=0.01226, s=0.833, r=0.00000, v=0
i=4800, l=0.01058, s=0.821, r=0.00000, v=0
i=4850, l=0.01040, s=0.839, r=0.00000, v=0
i=4900, l=0.01036, s=0.823, r=0.00000, v=0
i=4950, l=0.01133, s=0.818, r=0.00000, v=0
Time: 6597.85807466507
