1 ['IFNb']
tensor(0.0459, dtype=torch.float64)
i=0, l=0.29529, s=0.802, r=0.00000, v=0
i=50, l=0.28866, s=0.818, r=0.00001, v=0
i=100, l=0.20964, s=0.815, r=0.00005, v=0
i=150, l=0.14061, s=0.699, r=0.00011, v=0
i=200, l=0.07627, s=0.637, r=0.00019, v=1
i=250, l=0.05386, s=0.603, r=0.00029, v=2
i=300, l=0.04696, s=0.595, r=0.00041, v=1
i=350, l=0.04650, s=0.590, r=0.00055, v=0
i=400, l=0.04448, s=0.614, r=0.00069, v=0
i=450, l=0.04783, s=0.637, r=0.00084, v=0
i=500, l=0.04706, s=0.634, r=0.00100, v=0
i=550, l=0.04568, s=0.669, r=0.00116, v=0
i=600, l=0.04547, s=0.698, r=0.00131, v=0
i=650, l=0.04549, s=0.707, r=0.00145, v=0
i=700, l=0.04166, s=0.703, r=0.00159, v=1
i=750, l=0.04138, s=0.738, r=0.00171, v=0
i=800, l=0.03983, s=0.724, r=0.00181, v=0
i=850, l=0.04131, s=0.702, r=0.00189, v=1
i=900, l=0.04517, s=0.746, r=0.00195, v=0
i=950, l=0.04351, s=0.711, r=0.00199, v=0
i=1000, l=0.04424, s=0.806, r=0.00200, v=1
Backward fail (eigs left returned different eigenvalue)
i=1050, l=0.03835, s=0.722, r=0.00200, v=0
i=1100, l=0.03583, s=0.707, r=0.00200, v=0
i=1150, l=0.03636, s=0.725, r=0.00199, v=0
i=1200, l=0.03675, s=0.741, r=0.00199, v=0
i=1250, l=0.03782, s=0.716, r=0.00198, v=0
i=1300, l=0.03554, s=0.712, r=0.00197, v=0
i=1350, l=0.03369, s=0.709, r=0.00196, v=0
i=1400, l=0.03426, s=0.709, r=0.00194, v=0
i=1450, l=0.03222, s=0.729, r=0.00193, v=0
i=1500, l=0.03260, s=0.761, r=0.00191, v=0
i=1550, l=0.02957, s=0.779, r=0.00190, v=0
i=1600, l=0.02964, s=0.747, r=0.00188, v=1
i=1650, l=0.03238, s=0.837, r=0.00186, v=0
i=1700, l=0.02589, s=0.810, r=0.00183, v=1
i=1750, l=0.02440, s=0.766, r=0.00181, v=0
i=1800, l=0.02262, s=0.784, r=0.00178, v=1
i=1850, l=0.02372, s=0.789, r=0.00176, v=0
i=1900, l=0.02008, s=0.783, r=0.00173, v=0
i=1950, l=0.02022, s=0.788, r=0.00170, v=0
i=2000, l=0.02462, s=0.861, r=0.00167, v=1
i=2050, l=0.02165, s=0.779, r=0.00164, v=0
i=2100, l=0.01930, s=0.805, r=0.00160, v=2
i=2150, l=0.01926, s=0.804, r=0.00157, v=0
i=2200, l=0.01865, s=0.803, r=0.00154, v=0
i=2250, l=0.01787, s=0.830, r=0.00150, v=2
i=2300, l=0.01755, s=0.798, r=0.00146, v=0
i=2350, l=0.01623, s=0.814, r=0.00143, v=0
i=2400, l=0.02368, s=0.840, r=0.00139, v=0
i=2450, l=0.01689, s=0.840, r=0.00135, v=0
i=2500, l=0.01528, s=0.799, r=0.00131, v=0
i=2550, l=0.01437, s=0.799, r=0.00127, v=0
i=2600, l=0.01491, s=0.778, r=0.00123, v=0
i=2650, l=0.01467, s=0.819, r=0.00119, v=0
i=2700, l=0.01464, s=0.780, r=0.00115, v=0
i=2750, l=0.01436, s=0.790, r=0.00110, v=0
i=2800, l=0.01408, s=0.771, r=0.00106, v=1
i=2850, l=0.01329, s=0.787, r=0.00102, v=0
i=2900, l=0.01333, s=0.796, r=0.00098, v=0
i=2950, l=0.01384, s=0.800, r=0.00094, v=0
i=3000, l=0.01473, s=0.788, r=0.00090, v=0
i=3050, l=0.01315, s=0.779, r=0.00085, v=1
i=3100, l=0.01424, s=0.775, r=0.00081, v=0
i=3150, l=0.01321, s=0.772, r=0.00077, v=0
i=3200, l=0.01205, s=0.782, r=0.00073, v=0
i=3250, l=0.01317, s=0.763, r=0.00069, v=0
i=3300, l=0.01266, s=0.782, r=0.00065, v=0
i=3350, l=0.01168, s=0.764, r=0.00061, v=0
i=3400, l=0.01170, s=0.777, r=0.00057, v=0
i=3450, l=0.01129, s=0.769, r=0.00054, v=0
i=3500, l=0.01264, s=0.867, r=0.00050, v=1
i=3550, l=0.01242, s=0.774, r=0.00046, v=1
i=3600, l=0.01277, s=0.790, r=0.00043, v=1
i=3650, l=0.01097, s=0.771, r=0.00040, v=0
i=3700, l=0.01219, s=0.785, r=0.00036, v=0
i=3750, l=0.01245, s=0.785, r=0.00033, v=0
i=3800, l=0.01126, s=0.780, r=0.00030, v=0
i=3850, l=0.01270, s=0.778, r=0.00027, v=0
i=3900, l=0.01084, s=0.781, r=0.00024, v=0
i=3950, l=0.01141, s=0.791, r=0.00022, v=0
i=4000, l=0.01083, s=0.767, r=0.00019, v=0
i=4050, l=0.01218, s=0.789, r=0.00017, v=0
i=4100, l=0.01264, s=0.763, r=0.00014, v=0
i=4150, l=0.01235, s=0.805, r=0.00012, v=0
i=4200, l=0.01076, s=0.790, r=0.00010, v=0
i=4250, l=0.01219, s=0.787, r=0.00009, v=0
i=4300, l=0.01076, s=0.788, r=0.00007, v=0
i=4350, l=0.01318, s=0.783, r=0.00006, v=0
i=4400, l=0.01223, s=0.794, r=0.00004, v=0
i=4450, l=0.01202, s=0.770, r=0.00003, v=0
i=4500, l=0.01062, s=0.775, r=0.00002, v=0
i=4550, l=0.01060, s=0.795, r=0.00001, v=0
i=4600, l=0.01052, s=0.781, r=0.00001, v=0
i=4650, l=0.01199, s=0.770, r=0.00000, v=0
i=4700, l=0.01128, s=0.777, r=0.00000, v=0
i=4750, l=0.01088, s=0.764, r=0.00000, v=0
i=4800, l=0.01197, s=0.792, r=0.00000, v=0
Backward fail (eigs left returned different eigenvalue)
i=4850, l=0.01068, s=0.787, r=0.00000, v=0
i=4900, l=0.01076, s=0.788, r=0.00000, v=0
i=4950, l=0.01085, s=0.787, r=0.00000, v=0
Time: 7174.010045528412
