10 ['P3C']
tensor(0.0467, dtype=torch.float64)
i=0, l=0.30072, s=0.801, r=0.00000, v=0
i=50, l=0.27807, s=0.818, r=0.00001, v=0
i=100, l=0.20505, s=0.817, r=0.00005, v=0
i=150, l=0.13786, s=0.701, r=0.00011, v=2
i=200, l=0.07637, s=0.636, r=0.00019, v=1
i=250, l=0.05492, s=0.602, r=0.00029, v=0
i=300, l=0.04862, s=0.587, r=0.00041, v=0
i=350, l=0.04759, s=0.589, r=0.00055, v=0
i=400, l=0.04742, s=0.602, r=0.00069, v=0
i=450, l=0.04771, s=0.636, r=0.00084, v=0
i=500, l=0.04750, s=0.650, r=0.00100, v=0
i=550, l=0.04660, s=0.674, r=0.00116, v=0
i=600, l=0.04600, s=0.686, r=0.00131, v=0
i=650, l=0.04478, s=0.692, r=0.00145, v=0
i=700, l=0.04407, s=0.746, r=0.00159, v=0
i=750, l=0.04172, s=0.734, r=0.00171, v=0
i=800, l=0.03966, s=0.726, r=0.00181, v=0
i=850, l=0.04097, s=0.741, r=0.00189, v=0
i=900, l=0.03869, s=0.721, r=0.00195, v=0
i=950, l=0.03939, s=0.701, r=0.00199, v=0
i=1000, l=0.04003, s=0.704, r=0.00200, v=0
i=1050, l=0.04685, s=0.681, r=0.00200, v=0
i=1100, l=0.04561, s=0.665, r=0.00200, v=0
i=1150, l=0.04426, s=0.652, r=0.00199, v=1
Backward fail (eigs left returned different eigenvalue)
Backward fail (eigs left returned different eigenvalue)
i=1200, l=0.04477, s=0.674, r=0.00199, v=0
i=1250, l=0.04285, s=0.745, r=0.00198, v=0
i=1300, l=0.04252, s=0.704, r=0.00197, v=1
i=1350, l=0.03975, s=0.680, r=0.00196, v=0
i=1400, l=0.03425, s=0.698, r=0.00194, v=0
i=1450, l=0.03720, s=0.727, r=0.00193, v=0
i=1500, l=0.03833, s=0.726, r=0.00191, v=0
i=1550, l=0.03718, s=0.741, r=0.00190, v=1
i=1600, l=0.03589, s=0.761, r=0.00188, v=0
i=1650, l=0.04495, s=0.776, r=0.00186, v=1
i=1700, l=0.04101, s=0.760, r=0.00183, v=0
i=1750, l=0.03465, s=0.729, r=0.00181, v=0
i=1800, l=0.03736, s=0.747, r=0.00178, v=1
i=1850, l=0.03414, s=0.782, r=0.00176, v=0
i=1900, l=0.03080, s=0.760, r=0.00173, v=1
i=1950, l=0.03578, s=0.800, r=0.00170, v=5
i=2000, l=0.03168, s=0.759, r=0.00167, v=0
i=2050, l=0.03061, s=0.758, r=0.00164, v=1
i=2100, l=0.02879, s=0.768, r=0.00160, v=0
i=2150, l=0.02933, s=0.774, r=0.00157, v=1
i=2200, l=0.02772, s=0.754, r=0.00154, v=0
i=2250, l=0.03043, s=0.803, r=0.00150, v=0
i=2300, l=0.02858, s=0.776, r=0.00146, v=0
i=2350, l=0.02759, s=0.776, r=0.00143, v=0
i=2400, l=0.02859, s=0.768, r=0.00139, v=0
i=2450, l=0.02608, s=0.761, r=0.00135, v=1
i=2500, l=0.03088, s=0.755, r=0.00131, v=0
i=2550, l=0.03455, s=0.806, r=0.00127, v=0
i=2600, l=0.02980, s=0.784, r=0.00123, v=0
i=2650, l=0.03526, s=0.797, r=0.00119, v=2
i=2700, l=0.02672, s=0.759, r=0.00115, v=0
i=2750, l=0.02887, s=0.792, r=0.00110, v=0
i=2800, l=0.02985, s=0.784, r=0.00106, v=0
i=2850, l=0.02355, s=0.752, r=0.00102, v=0
i=2900, l=0.02564, s=0.793, r=0.00098, v=0
i=2950, l=0.02430, s=0.755, r=0.00094, v=0
i=3000, l=0.02645, s=0.743, r=0.00090, v=0
i=3050, l=0.02478, s=0.775, r=0.00085, v=0
i=3100, l=0.02298, s=0.805, r=0.00081, v=0
i=3150, l=0.02383, s=0.806, r=0.00077, v=0
i=3200, l=0.02127, s=0.790, r=0.00073, v=0
i=3250, l=0.02297, s=0.808, r=0.00069, v=0
i=3300, l=0.02550, s=0.827, r=0.00065, v=1
i=3350, l=0.02152, s=0.837, r=0.00061, v=0
i=3400, l=0.02089, s=0.817, r=0.00057, v=0
i=3450, l=0.02177, s=0.798, r=0.00054, v=0
i=3500, l=0.02103, s=0.845, r=0.00050, v=0
i=3550, l=0.01852, s=0.811, r=0.00046, v=0
i=3600, l=0.02175, s=0.780, r=0.00043, v=0
i=3650, l=0.01932, s=0.798, r=0.00040, v=0
i=3700, l=0.01827, s=0.809, r=0.00036, v=0
i=3750, l=0.01831, s=0.769, r=0.00033, v=0
i=3800, l=0.01925, s=0.789, r=0.00030, v=0
i=3850, l=0.01874, s=0.795, r=0.00027, v=0
i=3900, l=0.01918, s=0.795, r=0.00024, v=0
i=3950, l=0.02021, s=0.805, r=0.00022, v=0
i=4000, l=0.01851, s=0.819, r=0.00019, v=0
i=4050, l=0.01874, s=0.797, r=0.00017, v=0
i=4100, l=0.02477, s=0.797, r=0.00014, v=0
i=4150, l=0.01903, s=0.809, r=0.00012, v=0
i=4200, l=0.02373, s=0.792, r=0.00010, v=0
i=4250, l=0.02087, s=0.798, r=0.00009, v=0
i=4300, l=0.02016, s=0.795, r=0.00007, v=0
i=4350, l=0.01951, s=0.787, r=0.00006, v=0
i=4400, l=0.01949, s=0.810, r=0.00004, v=0
i=4450, l=0.02004, s=0.811, r=0.00003, v=0
i=4500, l=0.01899, s=0.824, r=0.00002, v=0
i=4550, l=0.01934, s=0.803, r=0.00001, v=0
i=4600, l=0.01934, s=0.835, r=0.00001, v=0
i=4650, l=0.01973, s=0.800, r=0.00000, v=0
i=4700, l=0.02044, s=0.810, r=0.00000, v=0
i=4750, l=0.01847, s=0.857, r=0.00000, v=0
Backward fail (eigs left returned different eigenvalue)
i=4800, l=0.02001, s=0.875, r=0.00000, v=0
i=4850, l=0.01876, s=0.837, r=0.00000, v=0
i=4900, l=0.01922, s=0.785, r=0.00000, v=0
i=4950, l=0.01869, s=0.829, r=0.00000, v=0
Backward fail (eigs left returned different eigenvalue)
Time: 6639.515682697296
