/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: divide by zero encountered in true_divide
  rd = 1 / (d - self.sigma)
/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: invalid value encountered in true_divide
  rd = 1 / (d - self.sigma)
13 ['TNFa']
tensor(0.0462, dtype=torch.float64)
i=0, l=0.28960, s=0.801, r=0.00000, v=0
i=50, l=0.27671, s=0.818, r=0.00001, v=0
i=100, l=0.20696, s=0.814, r=0.00005, v=0
i=150, l=0.14030, s=0.702, r=0.00011, v=4
i=200, l=0.07713, s=0.635, r=0.00019, v=0
i=250, l=0.05555, s=0.601, r=0.00029, v=1
i=300, l=0.04704, s=0.600, r=0.00041, v=0
i=350, l=0.04639, s=0.584, r=0.00055, v=0
i=400, l=0.04463, s=0.599, r=0.00069, v=0
i=450, l=0.04568, s=0.631, r=0.00084, v=0
i=500, l=0.04543, s=0.761, r=0.00100, v=0
i=550, l=0.04163, s=0.720, r=0.00116, v=0
i=600, l=0.04058, s=0.708, r=0.00131, v=0
i=650, l=0.03602, s=0.710, r=0.00145, v=1
i=700, l=0.03611, s=0.739, r=0.00159, v=0
i=750, l=0.04335, s=1.070, r=0.00171, v=2
i=800, l=0.03731, s=0.780, r=0.00181, v=3
i=850, l=0.03527, s=0.914, r=0.00189, v=1
i=900, l=0.03165, s=0.820, r=0.00195, v=0
i=950, l=0.03141, s=0.799, r=0.00199, v=0
i=1000, l=0.03238, s=0.807, r=0.00200, v=0
i=1050, l=0.02961, s=0.810, r=0.00200, v=0
i=1100, l=0.03798, s=0.790, r=0.00200, v=0
i=1150, l=0.03160, s=0.782, r=0.00199, v=0
i=1200, l=0.02994, s=0.785, r=0.00199, v=4
i=1250, l=0.02645, s=0.814, r=0.00198, v=1
i=1300, l=0.02320, s=0.795, r=0.00197, v=0
i=1350, l=0.02320, s=0.787, r=0.00196, v=2
i=1400, l=0.02081, s=0.783, r=0.00194, v=0
i=1450, l=0.03459, s=0.804, r=0.00193, v=3
i=1500, l=0.02684, s=0.776, r=0.00191, v=2
i=1550, l=0.02425, s=0.790, r=0.00190, v=0
i=1600, l=0.03000, s=0.812, r=0.00188, v=9
i=1650, l=0.02262, s=0.773, r=0.00186, v=0
i=1700, l=0.02424, s=0.809, r=0.00183, v=0
i=1750, l=0.01865, s=0.785, r=0.00181, v=0
i=1800, l=0.01850, s=0.812, r=0.00178, v=0
i=1850, l=0.01709, s=0.812, r=0.00176, v=0
i=1900, l=0.02208, s=0.816, r=0.00173, v=0
i=1950, l=0.01704, s=0.810, r=0.00170, v=0
i=2000, l=0.01661, s=0.785, r=0.00167, v=0
i=2050, l=0.01507, s=0.792, r=0.00164, v=1
i=2100, l=0.01473, s=0.772, r=0.00160, v=0
i=2150, l=0.02545, s=0.791, r=0.00157, v=7
i=2200, l=0.02034, s=0.804, r=0.00154, v=0
i=2250, l=0.01671, s=0.771, r=0.00150, v=0
i=2300, l=0.01601, s=0.770, r=0.00146, v=0
i=2350, l=0.01458, s=0.808, r=0.00143, v=0
i=2400, l=0.01470, s=0.783, r=0.00139, v=0
i=2450, l=0.01499, s=0.770, r=0.00135, v=0
i=2500, l=0.01334, s=0.767, r=0.00131, v=0
i=2550, l=0.01336, s=0.782, r=0.00127, v=1
i=2600, l=0.01261, s=0.792, r=0.00123, v=0
i=2650, l=0.01315, s=0.775, r=0.00119, v=2
i=2700, l=0.01174, s=0.786, r=0.00115, v=0
i=2750, l=0.01149, s=0.778, r=0.00110, v=0
i=2800, l=0.01096, s=0.783, r=0.00106, v=0
i=2850, l=0.01125, s=0.790, r=0.00102, v=0
i=2900, l=0.01556, s=0.876, r=0.00098, v=1
i=2950, l=0.01490, s=0.879, r=0.00094, v=1
i=3000, l=0.01261, s=0.869, r=0.00090, v=1
i=3050, l=0.01121, s=0.801, r=0.00085, v=0
i=3100, l=0.01312, s=0.810, r=0.00081, v=0
i=3150, l=0.01287, s=0.798, r=0.00077, v=0
i=3200, l=0.00995, s=0.787, r=0.00073, v=0
i=3250, l=0.00988, s=0.794, r=0.00069, v=0
i=3300, l=0.00960, s=0.798, r=0.00065, v=1
i=3350, l=0.00957, s=0.792, r=0.00061, v=0
i=3400, l=0.01059, s=0.774, r=0.00057, v=0
i=3450, l=0.00921, s=0.795, r=0.00054, v=0
i=3500, l=0.00915, s=0.789, r=0.00050, v=2
i=3550, l=0.00907, s=0.823, r=0.00046, v=1
i=3600, l=0.00951, s=0.805, r=0.00043, v=1
i=3650, l=0.00989, s=0.809, r=0.00040, v=18
i=3700, l=0.01110, s=0.946, r=0.00036, v=12
i=3750, l=0.01278, s=0.872, r=0.00033, v=12
i=3800, l=0.01386, s=0.868, r=0.00030, v=8
i=3850, l=0.01315, s=0.969, r=0.00027, v=4
i=3900, l=0.01286, s=0.917, r=0.00024, v=5
i=3950, l=0.01223, s=0.939, r=0.00022, v=3
i=4000, l=0.01743, s=0.872, r=0.00019, v=4
i=4050, l=0.01444, s=0.883, r=0.00017, v=6
i=4100, l=0.01467, s=0.901, r=0.00014, v=3
i=4150, l=0.01457, s=0.970, r=0.00012, v=4
i=4200, l=0.02345, s=0.936, r=0.00010, v=4
Backward fail (eigs left returned different eigenvalue)
i=4250, l=0.02129, s=0.862, r=0.00009, v=3
i=4300, l=0.01521, s=0.913, r=0.00007, v=9
i=4350, l=0.01591, s=0.994, r=0.00006, v=12
i=4400, l=0.01851, s=1.053, r=0.00004, v=12
i=4450, l=0.01811, s=0.866, r=0.00003, v=11
i=4500, l=0.01809, s=0.864, r=0.00002, v=9
i=4550, l=0.01755, s=0.898, r=0.00001, v=7
i=4600, l=0.01684, s=0.869, r=0.00001, v=8
i=4650, l=0.01716, s=0.840, r=0.00000, v=9
i=4700, l=0.01619, s=0.851, r=0.00000, v=9
i=4750, l=0.01647, s=0.839, r=0.00000, v=9
i=4800, l=0.01663, s=0.934, r=0.00000, v=9
i=4850, l=0.02028, s=0.888, r=0.00000, v=9
i=4900, l=0.01985, s=0.944, r=0.00000, v=10
i=4950, l=0.01826, s=0.886, r=0.00000, v=9
Time: 6161.590871334076
