/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: divide by zero encountered in true_divide
  rd = 1 / (d - self.sigma)
/home/software/python/python-3.6.4/lib/python3.6/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:859: RuntimeWarning: invalid value encountered in true_divide
  rd = 1 / (d - self.sigma)
16 ['TNFa+PGE2+P3C']
tensor(0.0464, dtype=torch.float64)
i=0, l=0.29356, s=0.802, r=0.00000, v=0
i=50, l=0.28407, s=0.818, r=0.00001, v=0
i=100, l=0.20270, s=0.811, r=0.00005, v=0
i=150, l=0.13765, s=0.698, r=0.00011, v=1
i=200, l=0.07541, s=0.634, r=0.00019, v=1
i=250, l=0.05475, s=0.609, r=0.00029, v=0
i=300, l=0.04654, s=0.586, r=0.00041, v=0
i=350, l=0.04639, s=0.589, r=0.00055, v=0
i=400, l=0.04780, s=0.603, r=0.00069, v=0
i=450, l=0.04779, s=0.634, r=0.00084, v=0
i=500, l=0.04483, s=0.660, r=0.00100, v=0
i=550, l=0.04493, s=0.707, r=0.00116, v=0
i=600, l=0.04156, s=0.730, r=0.00131, v=0
Backward fail (eigs left returned different eigenvalue)
i=650, l=0.04298, s=0.712, r=0.00145, v=1
i=700, l=0.04235, s=0.710, r=0.00159, v=0
i=750, l=0.04114, s=0.725, r=0.00171, v=0
i=800, l=0.04163, s=0.742, r=0.00181, v=0
i=850, l=0.03886, s=0.734, r=0.00189, v=0
i=900, l=0.03755, s=0.745, r=0.00195, v=0
i=950, l=0.03614, s=0.776, r=0.00199, v=0
i=1000, l=0.03508, s=0.800, r=0.00200, v=0
i=1050, l=0.03795, s=0.818, r=0.00200, v=4
i=1100, l=0.03514, s=0.766, r=0.00200, v=0
i=1150, l=0.02972, s=0.792, r=0.00199, v=1
i=1200, l=0.03327, s=0.760, r=0.00199, v=0
i=1250, l=0.03103, s=0.757, r=0.00198, v=1
i=1300, l=0.03024, s=0.742, r=0.00197, v=0
i=1350, l=0.03095, s=0.782, r=0.00196, v=1
i=1400, l=0.02675, s=0.746, r=0.00194, v=0
i=1450, l=0.02534, s=0.787, r=0.00193, v=1
i=1500, l=0.02731, s=0.777, r=0.00191, v=0
i=1550, l=0.02383, s=0.777, r=0.00190, v=0
i=1600, l=0.02206, s=0.753, r=0.00188, v=0
i=1650, l=0.02364, s=0.760, r=0.00186, v=0
i=1700, l=0.02722, s=0.762, r=0.00183, v=0
i=1750, l=0.02033, s=0.780, r=0.00181, v=0
i=1800, l=0.02130, s=0.766, r=0.00178, v=0
i=1850, l=0.01972, s=0.762, r=0.00176, v=1
i=1900, l=0.02325, s=0.743, r=0.00173, v=0
i=1950, l=0.02280, s=0.772, r=0.00170, v=0
i=2000, l=0.01795, s=0.763, r=0.00167, v=0
i=2050, l=0.01953, s=0.782, r=0.00164, v=0
i=2100, l=0.03442, s=0.814, r=0.00160, v=0
i=2150, l=0.02829, s=0.776, r=0.00157, v=0
i=2200, l=0.02983, s=0.815, r=0.00154, v=2
i=2250, l=0.02527, s=0.791, r=0.00150, v=1
i=2300, l=0.02360, s=0.768, r=0.00146, v=0
i=2350, l=0.02341, s=0.797, r=0.00143, v=0
i=2400, l=0.02277, s=0.776, r=0.00139, v=0
i=2450, l=0.02230, s=0.772, r=0.00135, v=0
i=2500, l=0.01742, s=0.767, r=0.00131, v=0
i=2550, l=0.02002, s=0.778, r=0.00127, v=0
i=2600, l=0.01851, s=0.762, r=0.00123, v=0
i=2650, l=0.01951, s=0.813, r=0.00119, v=0
i=2700, l=0.01673, s=0.770, r=0.00115, v=0
i=2750, l=0.01632, s=0.783, r=0.00110, v=0
i=2800, l=0.01817, s=0.771, r=0.00106, v=0
i=2850, l=0.01889, s=0.779, r=0.00102, v=0
i=2900, l=0.01618, s=0.806, r=0.00098, v=0
i=2950, l=0.02151, s=0.803, r=0.00094, v=0
i=3000, l=0.01830, s=0.821, r=0.00090, v=0
i=3050, l=0.01609, s=0.853, r=0.00085, v=0
i=3100, l=0.01570, s=0.819, r=0.00081, v=0
i=3150, l=0.01747, s=0.790, r=0.00077, v=0
i=3200, l=0.01558, s=0.784, r=0.00073, v=0
i=3250, l=0.01563, s=0.775, r=0.00069, v=0
i=3300, l=0.01927, s=0.793, r=0.00065, v=0
i=3350, l=0.01819, s=0.791, r=0.00061, v=0
i=3400, l=0.01568, s=0.799, r=0.00057, v=0
i=3450, l=0.01750, s=0.777, r=0.00054, v=0
i=3500, l=0.02071, s=0.813, r=0.00050, v=1
i=3550, l=0.01590, s=0.813, r=0.00046, v=0
i=3600, l=0.01608, s=0.771, r=0.00043, v=0
i=3650, l=0.01919, s=0.777, r=0.00040, v=0
i=3700, l=0.01573, s=0.779, r=0.00036, v=0
i=3750, l=0.01523, s=0.815, r=0.00033, v=0
i=3800, l=0.01508, s=0.785, r=0.00030, v=0
Backward fail (eigs left returned different eigenvalue)
Backward fail (eigs left returned different eigenvalue)
i=3850, l=0.02057, s=0.805, r=0.00027, v=0
i=3900, l=0.01852, s=0.783, r=0.00024, v=0
i=3950, l=0.02059, s=0.808, r=0.00022, v=0
