19 ['upLPS+IFNg']
tensor(0.0459, dtype=torch.float64)
i=0, l=0.28250, s=0.802, r=0.00000, v=0
i=50, l=0.29098, s=0.818, r=0.00001, v=0
i=100, l=0.21242, s=0.817, r=0.00005, v=0
i=150, l=0.13849, s=0.701, r=0.00011, v=1
i=200, l=0.07652, s=0.635, r=0.00019, v=1
i=250, l=0.05546, s=0.603, r=0.00029, v=1
i=300, l=0.04642, s=0.599, r=0.00041, v=0
i=350, l=0.04466, s=0.594, r=0.00055, v=0
i=400, l=0.04632, s=0.611, r=0.00069, v=0
i=450, l=0.04812, s=0.614, r=0.00084, v=0
i=500, l=0.04731, s=0.633, r=0.00100, v=0
i=550, l=0.04509, s=0.656, r=0.00116, v=0
i=600, l=0.04693, s=0.808, r=0.00131, v=0
i=650, l=0.04568, s=0.688, r=0.00145, v=0
i=700, l=0.04574, s=0.745, r=0.00159, v=0
i=750, l=0.04322, s=0.728, r=0.00171, v=1
i=800, l=0.04461, s=0.734, r=0.00181, v=0
i=850, l=0.04090, s=0.736, r=0.00189, v=0
i=900, l=0.03890, s=0.759, r=0.00195, v=0
i=950, l=0.04003, s=0.738, r=0.00199, v=0
i=1000, l=0.04540, s=0.768, r=0.00200, v=0
i=1050, l=0.03511, s=0.735, r=0.00200, v=0
i=1100, l=0.03766, s=0.840, r=0.00200, v=0
i=1150, l=0.03683, s=0.814, r=0.00199, v=0
i=1200, l=0.03518, s=0.769, r=0.00199, v=1
i=1250, l=0.03759, s=0.814, r=0.00198, v=0
Backward fail (eigs left returned different eigenvalue)
Backward fail (eigs left returned different eigenvalue)
i=1300, l=0.03515, s=0.736, r=0.00197, v=0
i=1350, l=0.03327, s=0.798, r=0.00196, v=0
i=1400, l=0.03746, s=0.723, r=0.00194, v=0
i=1450, l=0.03116, s=0.779, r=0.00193, v=0
i=1500, l=0.03312, s=0.758, r=0.00191, v=0
i=1550, l=0.03090, s=0.745, r=0.00190, v=0
i=1600, l=0.02907, s=0.811, r=0.00188, v=0
i=1650, l=0.02583, s=0.779, r=0.00186, v=0
i=1700, l=0.02446, s=0.792, r=0.00183, v=0
i=1750, l=0.03092, s=0.790, r=0.00181, v=0
i=1800, l=0.02620, s=0.823, r=0.00178, v=0
i=1850, l=0.02380, s=0.791, r=0.00176, v=0
i=1900, l=0.03040, s=0.817, r=0.00173, v=0
i=1950, l=0.02557, s=0.782, r=0.00170, v=0
i=2000, l=0.02918, s=0.799, r=0.00167, v=0
i=2050, l=0.03264, s=0.793, r=0.00164, v=0
i=2100, l=0.03184, s=0.869, r=0.00160, v=0
i=2150, l=0.02405, s=0.844, r=0.00157, v=0
i=2200, l=0.02558, s=0.787, r=0.00154, v=1
i=2250, l=0.02224, s=0.774, r=0.00150, v=0
i=2300, l=0.02434, s=0.824, r=0.00146, v=0
i=2350, l=0.02145, s=0.797, r=0.00143, v=0
i=2400, l=0.02084, s=0.763, r=0.00139, v=0
i=2450, l=0.01986, s=0.758, r=0.00135, v=0
i=2500, l=0.01835, s=0.773, r=0.00131, v=0
i=2550, l=0.02260, s=0.778, r=0.00127, v=0
i=2600, l=0.02181, s=0.782, r=0.00123, v=0
i=2650, l=0.01933, s=0.746, r=0.00119, v=0
i=2700, l=0.02464, s=0.785, r=0.00115, v=0
i=2750, l=0.01894, s=0.779, r=0.00110, v=0
i=2800, l=0.01948, s=0.798, r=0.00106, v=0
i=2850, l=0.01782, s=0.744, r=0.00102, v=0
i=2900, l=0.02032, s=0.840, r=0.00098, v=1
i=2950, l=0.02195, s=0.790, r=0.00094, v=0
i=3000, l=0.01943, s=0.774, r=0.00090, v=0
i=3050, l=0.02412, s=0.888, r=0.00085, v=1
i=3100, l=0.02020, s=0.859, r=0.00081, v=0
i=3150, l=0.01921, s=0.822, r=0.00077, v=0
i=3200, l=0.01981, s=0.884, r=0.00073, v=0
i=3250, l=0.02320, s=0.802, r=0.00069, v=0
i=3300, l=0.02119, s=0.802, r=0.00065, v=0
i=3350, l=0.01770, s=0.809, r=0.00061, v=0
i=3400, l=0.01819, s=0.788, r=0.00057, v=1
i=3450, l=0.01717, s=0.790, r=0.00054, v=1
i=3500, l=0.02126, s=0.786, r=0.00050, v=0
i=3550, l=0.01914, s=0.783, r=0.00046, v=0
i=3600, l=0.01769, s=0.777, r=0.00043, v=0
i=3650, l=0.01869, s=0.772, r=0.00040, v=1
i=3700, l=0.02325, s=0.765, r=0.00036, v=0
i=3750, l=0.01732, s=0.796, r=0.00033, v=0
i=3800, l=0.01755, s=0.762, r=0.00030, v=0
i=3850, l=0.01795, s=0.773, r=0.00027, v=0
i=3900, l=0.01650, s=0.755, r=0.00024, v=1
i=3950, l=0.01966, s=0.779, r=0.00022, v=0
i=4000, l=0.01642, s=0.798, r=0.00019, v=0
i=4050, l=0.01639, s=0.790, r=0.00017, v=0
i=4100, l=0.01876, s=0.763, r=0.00014, v=0
i=4150, l=0.01990, s=0.772, r=0.00012, v=0
i=4200, l=0.01746, s=0.765, r=0.00010, v=0
i=4250, l=0.01740, s=0.758, r=0.00009, v=0
i=4300, l=0.01681, s=0.772, r=0.00007, v=0
i=4350, l=0.01795, s=0.752, r=0.00006, v=0
i=4400, l=0.01763, s=0.772, r=0.00004, v=0
i=4450, l=0.01810, s=0.756, r=0.00003, v=0
i=4500, l=0.01749, s=0.784, r=0.00002, v=0
i=4550, l=0.01881, s=0.758, r=0.00001, v=0
i=4600, l=0.01662, s=0.764, r=0.00001, v=0
i=4650, l=0.01730, s=0.771, r=0.00000, v=0
i=4700, l=0.01897, s=0.779, r=0.00000, v=0
i=4750, l=0.01810, s=0.776, r=0.00000, v=0
i=4800, l=0.01749, s=0.808, r=0.00000, v=0
i=4850, l=0.01741, s=0.778, r=0.00000, v=0
i=4900, l=0.01642, s=0.787, r=0.00000, v=0
i=4950, l=0.01667, s=0.783, r=0.00000, v=0
Time: 6906.94203543663
