5 ['IFNg+TNFa']
tensor(0.0463, dtype=torch.float64)
i=0, l=0.28689, s=0.802, r=0.00000, v=0
i=50, l=0.27748, s=0.819, r=0.00001, v=0
i=100, l=0.20967, s=0.815, r=0.00005, v=0
i=150, l=0.14271, s=0.699, r=0.00011, v=0
i=200, l=0.07797, s=0.639, r=0.00019, v=1
i=250, l=0.05329, s=0.606, r=0.00029, v=0
i=300, l=0.04890, s=0.596, r=0.00041, v=0
i=350, l=0.04656, s=0.591, r=0.00055, v=0
i=400, l=0.04586, s=0.592, r=0.00069, v=0
i=450, l=0.04714, s=0.639, r=0.00084, v=0
i=500, l=0.04527, s=0.664, r=0.00100, v=0
i=550, l=0.04538, s=0.693, r=0.00116, v=0
i=600, l=0.04671, s=0.665, r=0.00131, v=0
i=650, l=0.04829, s=0.660, r=0.00145, v=0
i=700, l=0.04864, s=0.662, r=0.00159, v=0
i=750, l=0.04661, s=0.688, r=0.00171, v=0
i=800, l=0.04829, s=0.669, r=0.00181, v=0
i=850, l=0.04748, s=0.716, r=0.00189, v=0
i=900, l=0.04641, s=0.691, r=0.00195, v=0
i=950, l=0.04402, s=0.838, r=0.00199, v=0
i=1000, l=0.04164, s=0.773, r=0.00200, v=0
i=1050, l=0.04052, s=0.756, r=0.00200, v=0
i=1100, l=0.04237, s=0.786, r=0.00200, v=0
i=1150, l=0.03553, s=0.771, r=0.00199, v=1
i=1200, l=0.03237, s=0.756, r=0.00199, v=0
i=1250, l=0.04326, s=0.743, r=0.00198, v=0
i=1300, l=0.04454, s=0.735, r=0.00197, v=0
i=1350, l=0.03205, s=0.759, r=0.00196, v=1
i=1400, l=0.02984, s=0.754, r=0.00194, v=0
i=1450, l=0.03371, s=0.767, r=0.00193, v=0
i=1500, l=0.02982, s=0.751, r=0.00191, v=0
i=1550, l=0.03063, s=0.743, r=0.00190, v=0
i=1600, l=0.03788, s=0.744, r=0.00188, v=0
i=1650, l=0.03079, s=0.749, r=0.00186, v=0
i=1700, l=0.03033, s=0.793, r=0.00183, v=0
i=1750, l=0.03700, s=0.800, r=0.00181, v=0
i=1800, l=0.02722, s=0.756, r=0.00178, v=0
i=1850, l=0.02525, s=0.783, r=0.00176, v=0
i=1900, l=0.04529, s=0.812, r=0.00173, v=0
i=1950, l=0.03093, s=0.795, r=0.00170, v=0
i=2000, l=0.02717, s=0.796, r=0.00167, v=0
i=2050, l=0.03384, s=0.805, r=0.00164, v=0
i=2100, l=0.02442, s=0.767, r=0.00160, v=0
i=2150, l=0.02969, s=0.783, r=0.00157, v=0
i=2200, l=0.04132, s=0.810, r=0.00154, v=0
i=2250, l=0.02520, s=0.772, r=0.00150, v=0
i=2300, l=0.02440, s=0.776, r=0.00146, v=0
i=2350, l=0.04301, s=0.838, r=0.00143, v=3
i=2400, l=0.03948, s=0.843, r=0.00139, v=0
i=2450, l=0.02939, s=0.830, r=0.00135, v=0
i=2500, l=0.02237, s=0.810, r=0.00131, v=0
i=2550, l=0.02238, s=0.786, r=0.00127, v=0
i=2600, l=0.02335, s=0.787, r=0.00123, v=0
i=2650, l=0.02251, s=0.798, r=0.00119, v=0
i=2700, l=0.02291, s=0.829, r=0.00115, v=0
i=2750, l=0.02116, s=0.788, r=0.00110, v=0
i=2800, l=0.02330, s=0.791, r=0.00106, v=0
i=2850, l=0.02123, s=0.824, r=0.00102, v=0
i=2900, l=0.02064, s=0.775, r=0.00098, v=0
i=2950, l=0.04133, s=0.892, r=0.00094, v=0
i=3000, l=0.02899, s=0.824, r=0.00090, v=0
i=3050, l=0.02240, s=0.844, r=0.00085, v=0
i=3100, l=0.02034, s=0.822, r=0.00081, v=0
i=3150, l=0.02219, s=0.838, r=0.00077, v=0
i=3200, l=0.02791, s=0.813, r=0.00073, v=1
i=3250, l=0.02031, s=0.863, r=0.00069, v=0
i=3300, l=0.01991, s=0.857, r=0.00065, v=0
i=3350, l=0.01868, s=0.866, r=0.00061, v=0
i=3400, l=0.01661, s=0.829, r=0.00057, v=0
i=3450, l=0.01955, s=0.833, r=0.00054, v=0
i=3500, l=0.01638, s=0.841, r=0.00050, v=0
i=3550, l=0.01534, s=0.827, r=0.00046, v=0
i=3600, l=0.01473, s=0.837, r=0.00043, v=0
i=3650, l=0.01515, s=0.822, r=0.00040, v=0
i=3700, l=0.01595, s=0.834, r=0.00036, v=0
i=3750, l=0.01375, s=0.875, r=0.00033, v=0
i=3800, l=0.01365, s=0.854, r=0.00030, v=0
i=3850, l=0.01488, s=0.826, r=0.00027, v=0
i=3900, l=0.01506, s=0.885, r=0.00024, v=1
i=3950, l=0.01350, s=0.845, r=0.00022, v=0
i=4000, l=0.01384, s=0.871, r=0.00019, v=0
i=4050, l=0.01418, s=0.860, r=0.00017, v=0
i=4100, l=0.01564, s=0.884, r=0.00014, v=0
i=4150, l=0.01414, s=0.888, r=0.00012, v=0
i=4200, l=0.01524, s=0.874, r=0.00010, v=0
i=4250, l=0.01395, s=0.876, r=0.00009, v=0
i=4300, l=0.01454, s=0.900, r=0.00007, v=0
i=4350, l=0.01340, s=0.869, r=0.00006, v=0
i=4400, l=0.01274, s=0.861, r=0.00004, v=0
i=4450, l=0.01429, s=0.869, r=0.00003, v=1
i=4500, l=0.01420, s=0.831, r=0.00002, v=0
i=4550, l=0.01430, s=0.871, r=0.00001, v=0
i=4600, l=0.01453, s=0.866, r=0.00001, v=0
i=4650, l=0.01411, s=0.857, r=0.00000, v=0
i=4700, l=0.01396, s=0.852, r=0.00000, v=0
i=4750, l=0.01421, s=0.871, r=0.00000, v=0
i=4800, l=0.01522, s=0.847, r=0.00000, v=0
i=4850, l=0.01498, s=0.835, r=0.00000, v=0
i=4900, l=0.01381, s=0.858, r=0.00000, v=0
i=4950, l=0.01384, s=0.858, r=0.00000, v=0
Time: 7000.379116773605
