6 ['IL4']
tensor(0.0454, dtype=torch.float64)
i=0, l=0.29607, s=0.802, r=0.00000, v=0
i=50, l=0.27706, s=0.818, r=0.00001, v=0
i=100, l=0.20734, s=0.822, r=0.00005, v=0
i=150, l=0.13815, s=0.689, r=0.00011, v=1
i=200, l=0.07257, s=0.631, r=0.00019, v=0
i=250, l=0.05128, s=0.608, r=0.00029, v=0
i=300, l=0.04619, s=0.590, r=0.00041, v=0
i=350, l=0.04690, s=0.584, r=0.00055, v=0
i=400, l=0.04640, s=0.594, r=0.00069, v=0
i=450, l=0.04587, s=0.723, r=0.00084, v=0
i=500, l=0.04678, s=0.639, r=0.00100, v=0
i=550, l=0.04565, s=0.638, r=0.00116, v=0
i=600, l=0.04546, s=0.663, r=0.00131, v=0
i=650, l=0.04541, s=0.690, r=0.00145, v=0
i=700, l=0.04436, s=0.690, r=0.00159, v=0
i=750, l=0.04434, s=0.710, r=0.00171, v=0
i=800, l=0.04351, s=0.703, r=0.00181, v=0
i=850, l=0.04114, s=0.718, r=0.00189, v=0
i=900, l=0.03998, s=0.751, r=0.00195, v=0
i=950, l=0.03863, s=0.766, r=0.00199, v=0
i=1000, l=0.03722, s=0.726, r=0.00200, v=0
i=1050, l=0.03485, s=0.820, r=0.00200, v=0
i=1100, l=0.03444, s=0.780, r=0.00200, v=0
i=1150, l=0.03179, s=0.753, r=0.00199, v=0
i=1200, l=0.03188, s=0.752, r=0.00199, v=1
i=1250, l=0.03068, s=0.751, r=0.00198, v=0
i=1300, l=0.02779, s=0.740, r=0.00197, v=1
i=1350, l=0.02799, s=0.730, r=0.00196, v=0
i=1400, l=0.03149, s=0.732, r=0.00194, v=0
i=1450, l=0.02773, s=0.765, r=0.00193, v=0
i=1500, l=0.02902, s=0.781, r=0.00191, v=0
i=1550, l=0.02773, s=0.741, r=0.00190, v=0
i=1600, l=0.03924, s=0.749, r=0.00188, v=0
i=1650, l=0.03593, s=0.714, r=0.00186, v=0
i=1700, l=0.03456, s=0.723, r=0.00183, v=0
i=1750, l=0.03451, s=0.720, r=0.00181, v=0
i=1800, l=0.03602, s=0.703, r=0.00178, v=0
i=1850, l=0.03533, s=0.766, r=0.00176, v=0
i=1900, l=0.03368, s=0.754, r=0.00173, v=0
i=1950, l=0.03196, s=0.757, r=0.00170, v=0
i=2000, l=0.03168, s=0.718, r=0.00167, v=0
i=2050, l=0.03463, s=0.752, r=0.00164, v=1
i=2100, l=0.03145, s=0.781, r=0.00160, v=0
i=2150, l=0.03557, s=0.766, r=0.00157, v=0
i=2200, l=0.02998, s=0.746, r=0.00154, v=0
i=2250, l=0.02936, s=0.745, r=0.00150, v=0
i=2300, l=0.02679, s=0.732, r=0.00146, v=0
i=2350, l=0.02969, s=0.768, r=0.00143, v=0
i=2400, l=0.02849, s=0.765, r=0.00139, v=0
i=2450, l=0.02686, s=0.732, r=0.00135, v=0
i=2500, l=0.02560, s=0.728, r=0.00131, v=0
i=2550, l=0.02489, s=0.759, r=0.00127, v=1
i=2600, l=0.02730, s=0.757, r=0.00123, v=0
i=2650, l=0.02950, s=0.744, r=0.00119, v=0
i=2700, l=0.02549, s=0.763, r=0.00115, v=0
i=2750, l=0.02575, s=0.735, r=0.00110, v=0
