7 ['IL4+upLPS']
tensor(0.0461, dtype=torch.float64)
i=0, l=0.28481, s=0.802, r=0.00000, v=0
i=50, l=0.28628, s=0.819, r=0.00001, v=0
i=100, l=0.20542, s=0.813, r=0.00005, v=0
i=150, l=0.13891, s=0.693, r=0.00011, v=0
i=200, l=0.07515, s=0.632, r=0.00019, v=1
i=250, l=0.05518, s=0.607, r=0.00029, v=0
i=300, l=0.04756, s=0.593, r=0.00041, v=0
i=350, l=0.04464, s=0.583, r=0.00055, v=0
i=400, l=0.04625, s=0.595, r=0.00069, v=0
i=450, l=0.04644, s=0.653, r=0.00084, v=0
i=500, l=0.04481, s=0.633, r=0.00100, v=0
i=550, l=0.04517, s=0.644, r=0.00116, v=0
i=600, l=0.04487, s=0.643, r=0.00131, v=0
i=650, l=0.04804, s=0.661, r=0.00145, v=1
i=700, l=0.04552, s=0.676, r=0.00159, v=0
i=750, l=0.04701, s=0.709, r=0.00171, v=0
i=800, l=0.04505, s=0.687, r=0.00181, v=0
i=850, l=0.04514, s=0.737, r=0.00189, v=0
i=900, l=0.04665, s=0.718, r=0.00195, v=0
i=950, l=0.04193, s=0.761, r=0.00199, v=0
i=1000, l=0.04593, s=0.762, r=0.00200, v=0
i=1050, l=0.04132, s=0.742, r=0.00200, v=0
i=1100, l=0.03919, s=0.770, r=0.00200, v=0
i=1150, l=0.03778, s=0.745, r=0.00199, v=0
i=1200, l=0.03794, s=0.758, r=0.00199, v=0
i=1250, l=0.03603, s=0.740, r=0.00198, v=0
i=1300, l=0.03693, s=0.741, r=0.00197, v=0
i=1350, l=0.04070, s=0.776, r=0.00196, v=0
i=1400, l=0.04202, s=0.726, r=0.00194, v=0
i=1450, l=0.03818, s=0.786, r=0.00193, v=0
i=1500, l=0.03691, s=0.795, r=0.00191, v=0
i=1550, l=0.04640, s=0.693, r=0.00190, v=0
i=1600, l=0.03615, s=0.733, r=0.00188, v=0
i=1650, l=0.03516, s=0.781, r=0.00186, v=0
i=1700, l=0.03390, s=0.731, r=0.00183, v=0
i=1750, l=0.03687, s=0.732, r=0.00181, v=0
i=1800, l=0.03639, s=0.740, r=0.00178, v=0
i=1850, l=0.03401, s=0.739, r=0.00176, v=1
i=1900, l=0.03572, s=0.729, r=0.00173, v=0
i=1950, l=0.03605, s=0.778, r=0.00170, v=1
i=2000, l=0.03708, s=0.703, r=0.00167, v=0
i=2050, l=0.03414, s=0.758, r=0.00164, v=0
i=2100, l=0.04181, s=0.805, r=0.00160, v=1
i=2150, l=0.03628, s=0.756, r=0.00157, v=0
i=2200, l=0.03879, s=0.776, r=0.00154, v=0
i=2250, l=0.03570, s=0.754, r=0.00150, v=0
i=2300, l=0.03409, s=0.781, r=0.00146, v=0
i=2350, l=0.03428, s=0.762, r=0.00143, v=0
i=2400, l=0.03275, s=0.738, r=0.00139, v=1
i=2450, l=0.03849, s=0.773, r=0.00135, v=0
i=2500, l=0.03497, s=0.779, r=0.00131, v=0
i=2550, l=0.04113, s=0.771, r=0.00127, v=0
Backward fail (eigs left returned different eigenvalue)
i=2600, l=0.04142, s=0.855, r=0.00123, v=0
i=2650, l=0.03794, s=0.864, r=0.00119, v=0
i=2700, l=0.04326, s=0.770, r=0.00115, v=0
i=2750, l=0.03824, s=0.750, r=0.00110, v=0
i=2800, l=0.03574, s=0.860, r=0.00106, v=1
i=2850, l=0.02931, s=0.854, r=0.00102, v=0
i=2900, l=0.02960, s=0.901, r=0.00098, v=2
i=2950, l=0.02566, s=0.832, r=0.00094, v=0
i=3000, l=0.03434, s=0.839, r=0.00090, v=1
i=3050, l=0.02218, s=0.820, r=0.00085, v=1
i=3100, l=0.02161, s=0.866, r=0.00081, v=0
i=3150, l=0.02291, s=0.875, r=0.00077, v=0
i=3200, l=0.02044, s=0.843, r=0.00073, v=1
i=3250, l=0.02011, s=0.820, r=0.00069, v=0
i=3300, l=0.01999, s=0.814, r=0.00065, v=0
i=3350, l=0.01946, s=0.804, r=0.00061, v=0
i=3400, l=0.01801, s=0.809, r=0.00057, v=1
i=3450, l=0.01813, s=0.834, r=0.00054, v=0
i=3500, l=0.01778, s=0.816, r=0.00050, v=0
i=3550, l=0.01875, s=0.847, r=0.00046, v=0
i=3600, l=0.01688, s=0.825, r=0.00043, v=0
i=3650, l=0.01723, s=0.813, r=0.00040, v=0
i=3700, l=0.01862, s=0.809, r=0.00036, v=0
i=3750, l=0.01719, s=0.818, r=0.00033, v=0
i=3800, l=0.01677, s=0.820, r=0.00030, v=0
i=3850, l=0.01634, s=0.804, r=0.00027, v=0
i=3900, l=0.01629, s=0.820, r=0.00024, v=0
i=3950, l=0.01731, s=0.823, r=0.00022, v=0
i=4000, l=0.01571, s=0.838, r=0.00019, v=0
i=4050, l=0.01564, s=0.856, r=0.00017, v=0
i=4100, l=0.01447, s=0.840, r=0.00014, v=1
i=4150, l=0.01720, s=0.844, r=0.00012, v=0
i=4200, l=0.01352, s=0.864, r=0.00010, v=0
i=4250, l=0.01299, s=0.874, r=0.00009, v=0
i=4300, l=0.01284, s=0.860, r=0.00007, v=0
i=4350, l=0.01358, s=0.841, r=0.00006, v=0
i=4400, l=0.01293, s=0.832, r=0.00004, v=0
i=4450, l=0.01289, s=0.836, r=0.00003, v=0
i=4500, l=0.01289, s=0.864, r=0.00002, v=0
i=4550, l=0.01297, s=0.838, r=0.00001, v=0
i=4600, l=0.01307, s=0.856, r=0.00001, v=0
i=4650, l=0.01345, s=0.840, r=0.00000, v=0
i=4700, l=0.01293, s=0.850, r=0.00000, v=0
i=4750, l=0.01251, s=0.846, r=0.00000, v=0
i=4800, l=0.01272, s=0.823, r=0.00000, v=0
i=4850, l=0.01246, s=0.844, r=0.00000, v=0
i=4900, l=0.01206, s=0.832, r=0.00000, v=0
i=4950, l=0.01266, s=0.848, r=0.00000, v=0
Time: 6799.151725053787
