8 ['LPSc']
tensor(0.0466, dtype=torch.float64)
i=0, l=0.27952, s=0.802, r=0.00000, v=0
i=50, l=0.28110, s=0.819, r=0.00001, v=0
i=100, l=0.21162, s=0.805, r=0.00005, v=0
i=150, l=0.14137, s=0.704, r=0.00011, v=3
i=200, l=0.07852, s=0.634, r=0.00019, v=1
i=250, l=0.05239, s=0.606, r=0.00029, v=0
i=300, l=0.04627, s=0.589, r=0.00041, v=0
i=350, l=0.04484, s=0.590, r=0.00055, v=0
i=400, l=0.04724, s=0.593, r=0.00069, v=0
i=450, l=0.04661, s=0.666, r=0.00084, v=0
i=500, l=0.04375, s=0.715, r=0.00100, v=0
i=550, l=0.04327, s=0.654, r=0.00116, v=0
i=600, l=0.04233, s=0.711, r=0.00131, v=0
i=650, l=0.04009, s=0.695, r=0.00145, v=1
i=700, l=0.04039, s=0.720, r=0.00159, v=1
i=750, l=0.04110, s=0.746, r=0.00171, v=0
i=800, l=0.03762, s=0.721, r=0.00181, v=0
i=850, l=0.04011, s=0.740, r=0.00189, v=0
i=900, l=0.03865, s=0.728, r=0.00195, v=0
i=950, l=0.03514, s=0.729, r=0.00199, v=0
i=1000, l=0.04192, s=0.735, r=0.00200, v=1
i=1050, l=0.03486, s=0.730, r=0.00200, v=0
i=1100, l=0.03365, s=0.740, r=0.00200, v=0
i=1150, l=0.03521, s=0.730, r=0.00199, v=0
i=1200, l=0.03313, s=0.706, r=0.00199, v=0
i=1250, l=0.03385, s=0.744, r=0.00198, v=0
i=1300, l=0.03273, s=0.781, r=0.00197, v=0
i=1350, l=0.02964, s=0.747, r=0.00196, v=1
i=1400, l=0.04053, s=0.904, r=0.00194, v=0
i=1450, l=0.02916, s=0.811, r=0.00193, v=0
i=1500, l=0.02851, s=0.823, r=0.00191, v=0
i=1550, l=0.02622, s=0.774, r=0.00190, v=0
i=1600, l=0.02675, s=0.799, r=0.00188, v=0
i=1650, l=0.02352, s=0.838, r=0.00186, v=1
i=1700, l=0.04860, s=0.831, r=0.00183, v=1
i=1750, l=0.02431, s=0.790, r=0.00181, v=0
i=1800, l=0.01987, s=0.806, r=0.00178, v=0
i=1850, l=0.02094, s=0.841, r=0.00176, v=0
i=1900, l=0.01886, s=0.786, r=0.00173, v=1
i=1950, l=0.01994, s=0.846, r=0.00170, v=3
i=2000, l=0.01625, s=0.805, r=0.00167, v=0
i=2050, l=0.01553, s=0.817, r=0.00164, v=0
i=2100, l=0.01413, s=0.805, r=0.00160, v=2
i=2150, l=0.01353, s=0.794, r=0.00157, v=0
i=2200, l=0.01330, s=0.769, r=0.00154, v=0
i=2250, l=0.01272, s=0.767, r=0.00150, v=0
i=2300, l=0.01323, s=0.802, r=0.00146, v=0
i=2350, l=0.01259, s=0.767, r=0.00143, v=0
i=2400, l=0.01129, s=0.790, r=0.00139, v=0
i=2450, l=0.01115, s=0.763, r=0.00135, v=1
i=2500, l=0.01186, s=0.813, r=0.00131, v=1
i=2550, l=0.01086, s=0.779, r=0.00127, v=0
i=2600, l=0.00985, s=0.788, r=0.00123, v=0
i=2650, l=0.00977, s=0.777, r=0.00119, v=0
i=2700, l=0.00956, s=0.802, r=0.00115, v=0
i=2750, l=0.00966, s=0.803, r=0.00110, v=0
i=2800, l=0.00910, s=0.784, r=0.00106, v=0
i=2850, l=0.00896, s=0.799, r=0.00102, v=0
i=2900, l=0.00759, s=0.784, r=0.00098, v=0
i=2950, l=0.02097, s=0.843, r=0.00094, v=3
i=3000, l=0.01328, s=0.867, r=0.00090, v=1
i=3050, l=0.01108, s=0.857, r=0.00085, v=1
i=3100, l=0.01128, s=0.854, r=0.00081, v=1
Backward fail (eigs left returned different eigenvalue)
i=3150, l=0.01337, s=0.889, r=0.00077, v=0
i=3200, l=0.00982, s=0.866, r=0.00073, v=0
i=3250, l=0.00784, s=0.868, r=0.00069, v=0
i=3300, l=0.00720, s=0.824, r=0.00065, v=0
i=3350, l=0.01121, s=0.865, r=0.00061, v=0
i=3400, l=0.00725, s=0.851, r=0.00057, v=0
i=3450, l=0.00775, s=0.820, r=0.00054, v=0
i=3500, l=0.00799, s=0.844, r=0.00050, v=0
i=3550, l=0.00703, s=0.845, r=0.00046, v=14
i=3600, l=0.00742, s=0.863, r=0.00043, v=6
i=3650, l=0.00690, s=0.810, r=0.00040, v=0
i=3700, l=0.00634, s=0.805, r=0.00036, v=0
i=3750, l=0.00609, s=0.836, r=0.00033, v=0
i=3800, l=0.00616, s=0.814, r=0.00030, v=0
i=3850, l=0.00592, s=0.822, r=0.00027, v=0
i=3900, l=0.00812, s=0.806, r=0.00024, v=0
i=3950, l=0.00566, s=0.798, r=0.00022, v=0
i=4000, l=0.00560, s=0.830, r=0.00019, v=0
i=4050, l=0.00579, s=0.796, r=0.00017, v=0
i=4100, l=0.00529, s=0.800, r=0.00014, v=0
i=4150, l=0.00550, s=0.801, r=0.00012, v=0
i=4200, l=0.00546, s=0.809, r=0.00010, v=0
i=4250, l=0.00551, s=0.807, r=0.00009, v=0
i=4300, l=0.00557, s=0.817, r=0.00007, v=0
i=4350, l=0.00557, s=0.793, r=0.00006, v=0
i=4400, l=0.00523, s=0.830, r=0.00004, v=0
i=4450, l=0.00539, s=0.816, r=0.00003, v=1
i=4500, l=0.00630, s=0.866, r=0.00002, v=3
i=4550, l=0.00677, s=0.850, r=0.00001, v=7
i=4600, l=0.00679, s=0.861, r=0.00001, v=4
i=4650, l=0.00700, s=0.840, r=0.00000, v=9
i=4700, l=0.00748, s=0.950, r=0.00000, v=7
i=4750, l=0.00683, s=0.824, r=0.00000, v=5
i=4800, l=0.00688, s=0.867, r=0.00000, v=6
i=4850, l=0.00690, s=0.864, r=0.00000, v=4
i=4900, l=0.00685, s=0.838, r=0.00000, v=8
i=4950, l=0.00675, s=0.884, r=0.00000, v=6
Time: 6595.593050479889
