	CON	GC	IFNb	IFNb+TNFa+PGE2+P3C	IFNb+TNFa+PGE2+P3C+IFNg	IFNg	IFNg+TNFa	IL10	IL13	IL4	IL4+upLPS	LPSc	LPSc+IC	P3C	P3C+PGE2	PGE2	TNFa	TNFa+P3C	TNFa+PGE2	TNFa+PGE2+P3C	upLPS	upLPS+IC	upLPS+IFNg
FOXO3	0.5434866822552512	0.6779265027876388	0.3846894299228385	0.8943438780990108	0.7576418076832784	0.6788219319526514	0.2393839503116715	0.7686845010260263	0.7354390944775474	0.6429944528493101	0.2316852855831092	0.5601880095407783	0.9410773385086548	0.4071303723457307	0.5836584863706659	0.405406899680192	0.3230562284786064	0.7653990746082068	0.6009158677514631	0.9201412019066229	0.2730955128341472	0.1541581984794829	0.3823204839467318
MITF	0.5063553037656854	0.617777578246605	0.6217479034365586	0.6183039744535086	0.5067604781784358	0.3810434646157646	0.5365308463352104	0.5816793575865574	0.270137338934071	0.3170597018011488	0.2117437495607332	0.568696387727189	0.3648915875684558	0.6865582731103773	0.6666407365786643	0.582081153556414	0.6786021614055348	0.790279513576833	0.5982610268505336	0.5441970378781408	0.6348935107503558	0.8082833048959445	0.5124452155252278
FOS	0.2887050787483339	0.1194936383136345	0.1094738058736548	0.8155262571095275	0.7723281116976065	0.7879647292871607	0.59725281489632	0.3918838645135058	0.2664352702267477	0.1001170599558382	0.5179822982088568	0.948808264042574	0.9334881265571512	0.5635962147608492	0.8761783357470289	0.6995163146365234	0.5428498246718735	0.7931059973435173	0.8735314216092952	0.9341610351374996	0.3765491761692639	0.2939078628806479	0.9014357825813968
MYC	0.5249443463627208	0.7249376896162297	0.3525448012780502	0.0291199777713171	0.033345547336016	0.0649010908984987	0.2003919994810354	0.5451249710789491	0.4109794645428171	0.5031706168799641	0.6309133176183602	0.0876696126514192	0.0653456532003819	0.2343501901688842	0.0501584471632209	0.082868146311386	0.5767170281701032	0.0752690664215424	0.069272597692602	0.0631377232792648	0.2108636940768734	0.8593587491641396	0.0321581952898547
ESR1	0.5088399171735619	0.6138676843386414	0.558822588901164	0.7891240207723195	0.6451254755499277	0.7087292231834497	0.7222122124815904	0.5392858917248375	0.7542914674574911	0.6492473908590997	0.685920866218115	0.7598799706673253	0.891289951548619	0.5967306112713295	0.6092256903450464	0.58873424591281	0.7589396138658397	0.7640956391980455	0.8738319308248034	0.8104667537594608	0.5337170105412526	0.4317885307299769	0.8003264329891824
TP53	0.5359297149118597	0.796771056707286	0.5126177531059258	0.6270742176593256	0.7621464615677809	0.7983722260732085	0.6383117997016529	0.6118887870844542	0.7578953975674064	0.6370245001437854	0.2436695311094262	0.6211652076848082	0.6673647634507702	0.3449779480070854	0.5505827039735068	0.4328596402205029	0.1778625921876428	0.1844268937700202	0.2726518473374507	0.6251919587579073	0.4410945873683511	0.5895442748033719	0.7200235206076028
JUN	0.4560159239369356	0.0118258669104558	0.187316120727731	0.3931949146541869	0.619819897464386	0.900059815228502	0.9767996454385216	0.344451709324561	0.1651168344474861	0.1479182930563191	0.2116809125967504	0.7992921890103029	0.7741714408884116	0.3508609196422758	0.2833277949354497	0.1356410861596809	0.9467637875805016	0.54583435082352	0.8739986263480004	0.7994341707057737	0.27302819763578	0.0692006279243727	0.6932228183810127
SP1	0.7998853078488705	0.4391440631093808	0.3265406595314672	0.5519645211396019	0.4209491893428337	0.8949872241299902	0.8703805705815172	0.9215447280191232	0.601898506399452	0.4622643669491885	0.2478080261086103	0.8174418382566945	0.9342227522632012	0.3058778434074023	0.4218091177113949	0.2026616322612635	0.8780300474920509	0.5283271714741603	0.6262052040921948	0.8310974194237755	0.5782485577314324	0.4871615220146872	0.6988918478679939
GLI2	0.4657009166228433	0.4215935240952458	0.4301935483876088	0.3995801186988982	0.4063771499647593	0.4043809555386092	0.7350140951328982	0.585520918086454	0.5376354524886789	0.4962989048769823	0.3525842810184358	0.4557619871841446	0.513297527045505	0.3921097410813398	0.5222480584750423	0.5154995030423671	0.5977938034634055	0.363417801888232	0.4222042428573414	0.3950413723787365	0.4600288491351682	0.5272497224525586	0.5719650327277007
MYB	0.4072976992968304	0.6775854722577268	0.5738455827766352	0.4982364695447676	0.3033679341378617	0.3175828761727301	0.5620512434405603	0.641277233145157	0.8412124611813873	0.7225725690763058	0.4984352611549922	0.437396871987672	0.4813821888213133	0.297340135366249	0.1954580989571836	0.23125630131775	0.6583351239623179	0.4443078344818484	0.3218828769307493	0.3581432548194891	0.5185056669231488	0.6542056739323008	0.4036434078027526
