Row	viability
C_1	0.946
C_2	0.949
C_3	1.0783
C_4	1.22
C_5	1.075
C_6	1.0401
C_7	0.75
C_8	0.89
C_9	1.0428
C_10	0.958
C_11	0.974
C_12	0.9976
C_13	1.00011
C_14	1.0074
C_15	1.0593
C_16	1.0352
C_17	0.944
C_18	0.83
C_19	0.67
C_20	0.57
C_21	0.27
C_22	0.28
C_23	0.32
C_24	0.29
C_25	0.975
C_26	1.0828
C_27	1.0834
C_28	0.9955
C_29	0.82
C_30	0.61
C_31	0.58
C_32	0.26
C_33	1.0556
C_34	1.0622
C_35	0.9943
C_36	1.0248
C_37	0.73
C_38	0.68
C_39	0.53
C_40	0.55
C_41	1.015
C_42	0.9923
C_43	1.0898
C_44	0.909
C_45	0.74
C_46	0.7
C_47	0.33
C_48	0.26
C_49	0.76
C_50	0.9
C_51	0.969
C_52	0.88
C_53	0.99
C_54	1.0545
C_55	0.76
C_56	0.73
C_57	1.0016
C_58	1.0294
C_59	1.0073
C_60	1.0534
C_61	0.979
C_62	0.968
C_63	1.0437
C_64	0.9
C_65	0.976
C_66	0.9953
C_67	1.0421
C_68	1.0384
C_69	1.0163
C_70	1.173
C_71	0.9946
C_72	0.72
C_73	0.901
C_74	0.67
C_75	0.54
C_76	0.33
C_77	0.36
C_78	0.33
C_79	0.27
C_80	0.23
C_81	1.0022
C_82	0.918
C_83	1.0085
C_84	0.929
C_85	0.86
C_86	0.64
C_87	0.52
C_88	0.22
C_89	1.175
C_90	1.0543
C_91	1.0178
C_92	0.931
C_93	0.78
C_94	0.66
C_95	0.56
C_96	0.33
C_97	0.977
C_98	1.0048
C_99	0.84
C_100	0.7
C_101	0.57
C_102	0.44
C_103	0.41
C_104	0.34
C_105	0.88
C_106	0.88
C_107	0.968
C_108	0.913
C_109	0.968
C_110	0.85
C_111	0.93
C_112	0.85
C_113	1.0515
C_114	1.0538
C_115	1.0597
C_116	1.0888
C_117	1.0436
C_118	1.124
C_119	0.964
C_120	0.979
C_121	0.949
C_122	0.9941
C_123	1.055
C_124	1.0113
C_125	0.977
C_126	0.9983
C_127	0.986
C_128	0.927
C_129	0.88
C_130	0.71
C_131	0.45
C_132	0.32
C_133	0.26
C_134	0.26
C_135	0.26
C_136	0.28
C_137	0.967
C_138	0.976
C_139	0.902
C_140	0.975
C_141	0.74
C_142	0.6
C_143	0.33
C_144	0.3
C_145	1.0813
C_146	1.0828
C_147	1.0834
C_148	1.0632
C_149	1.0233
C_150	0.73
C_151	0.56
C_152	0.3
C_153	0.947
C_154	0.955
C_155	0.926
C_156	0.72
C_157	0.49
C_158	0.32
C_159	0.29
C_160	0.22
C_161	0.87
C_162	0.952
C_163	0.939
C_164	0.935
C_165	0.9975
C_166	0.946
C_167	0.969
C_168	0.43
C_169	0.9995
C_170	1.0317
C_171	1.0015
C_172	1.0259
C_173	0.96
C_174	1.103
C_175	0.88
C_176	0.83
C_177	1.16
C_178	0.987
C_179	1.125
C_180	1.0135
C_181	1.0893
C_182	1.116
C_183	0.88
C_184	0.44
C_185	0.984
C_186	0.926
C_187	0.74
C_188	0.56
C_189	0.5
C_190	0.46
C_191	0.4
C_192	0.33
C_193	0.87
C_194	1.0736
C_195	0.915
C_196	1.199
C_197	0.81
C_198	0.73
C_199	0.58
C_200	0.5
C_201	0.924
C_202	0.9954
C_203	0.969
C_204	0.928
C_205	0.68
C_206	0.52
C_207	0.32
C_208	0.3
C_209	0.85
C_210	0.926
C_211	1.0609
C_212	1.0495
C_213	0.76
C_214	0.56
C_215	0.55
C_216	0.47
C_217	0.72
C_218	0.8
C_219	1.0065
C_220	0.901
C_221	0.927
C_222	0.929
C_223	1.0904
C_224	0.71
C_225	0.86
C_226	1.0238
C_227	0.87
C_228	1.113
C_229	0.65
C_230	1.0503
C_231	0.57
C_232	0.57
C_233	1.0777
C_234	0.921
C_235	0.988
C_236	1.0803
C_237	0.917
C_238	1.0652
C_239	0.85
C_240	0.52
C_241	1.0702
C_242	1.0074
C_243	0.944
C_244	0.8
C_245	0.926
C_246	0.89
C_247	0.85
C_248	1.227
C_249	1.223
C_250	1.16
C_251	1.111
C_252	1.0801
C_253	1.165
C_254	0.964
C_255	0.955
C_256	1.173
C_257	1.017
C_258	1.262
C_259	1.0863
C_260	1.169
C_261	0.912
C_262	0.57
C_263	0.53
C_264	0.947
C_265	0.9972
C_266	1.109
C_267	1.0674
C_268	1.115
C_269	0.89
C_270	0.987
C_271	0.958
C_272	0.906
C_273	0.89
C_274	0.985
C_275	1.125
C_276	1.176
C_277	0.949
C_278	0.58
C_279	0.45
C_280	1.075
C_281	0.925
C_282	1.0472
C_283	1.0077
C_284	0.984
C_285	1.0234
C_286	1.102
C_287	0.85
C_288	1.124
C_289	0.959
C_290	1.101
C_291	0.929
C_292	0.947
C_293	0.85
C_294	0.936
C_295	0.53
C_296	1.0231
C_297	1.0672
C_298	0.964
C_299	1.0429
C_300	1.0802
C_301	1.0604
C_302	1.0128
C_303	0.952
C_304	1.0041
C_305	0.981
C_306	0.972
C_307	1.0283
C_308	1.0193
C_309	1.0359
C_310	1.0516
C_311	1.0505
C_312	1.111
C_313	1.0583
C_314	1.0232
C_315	1.11
C_316	0.9918
C_317	0.75
C_318	0.53
C_319	0.25
C_320	1.107
C_321	1.0658
C_322	0.912
C_323	1.0579
C_324	1.0088
C_325	1.116
C_326	1.101
C_327	1.144
C_328	0.924
C_329	0.99958
C_330	0.914
C_331	0.948
C_332	1.0749
C_333	0.75
C_334	0.62
C_335	0.41
C_336	1.0137
C_337	1.113
C_338	1.075
C_339	1.0582
C_340	0.86
C_341	0.83
C_342	0.85
C_343	0.74
C_344	0.952
C_345	0.9951
C_346	1.118
C_347	1.0417
C_348	1.0659
C_349	0.89
C_350	0.931
C_351	0.53
C_352	0.989
C_353	0.952
C_354	0.936
C_355	0.85
C_356	0.77
C_357	0.65
C_358	0.88
C_359	0.69
C_360	0.86
C_361	0.959
C_362	1.0657
C_363	0.926
C_364	1.0453
C_365	1.0036
C_366	0.968
C_367	0.988
C_368	1.0497
C_369	0.933
C_370	0.999
C_371	1.0033
C_372	0.953
C_373	0.946
C_374	0.87
C_375	0.38
C_376	0.84
C_377	0.91
C_378	1.0364
C_379	0.84
C_380	0.81
C_381	0.81
C_382	0.923
C_383	0.65
C_384	0.86
C_385	0.83
C_386	0.9935
C_387	0.9
C_388	0.956
C_389	0.86
C_390	0.71
C_391	0.56
