code	name	TF	ligand
Q13905	RAPGEF1	False	False
Q15796	SMAD2	True	False
P36897	TGFBR1	False	False
P42226	STAT6	True	False
P19438	TNFRSF1A	False	False
P01374	LTA	False	True
P46937	YAP1	False	False
P00734	F2	False	True
O96014	WNT11	False	True
Q86XR7	TICAM2	False	False
Q9Y4K3	TRAF6	False	False
P10586	PTPRF	False	True
O15211	RGL2	False	False
Q9UKW4	VAV3	False	False
Q00653	NFKB2	True	False
Q13009	TIAM1	False	False
O75044	SRGAP2	False	False
Q86WV6	STING1	False	False
P30530	AXL	False	False
P61278	SST	False	True
Q9NYJ8	TAB2	False	False
Q06643	LTB	False	True
Q96A98	PTH2	False	True
Q07889	SOS1	False	False
P30874	SSTR2	False	False
P29597	TYK2	False	False
P06239	LCK	False	False
Q15382	RHEB	False	False
P15923	TCF3	True	False
P40763	STAT3	True	False
Q92956	TNFRSF14	False	False
O43914	TYROBP	False	False
O94813	SLIT2	False	True
O14788	TNFSF11	False	True
P52735	VAV2	False	False
Q13485	SMAD4	True	False
P20333	TNFRSF1B	False	False
P31431	SDC4	False	False
P48436	SOX9	True	False
O14763	TNFRSF10B	False	False
P21583	KITLG	False	True
P12931	SRC	False	False
P98077	SHC2	False	False
P48061	CXCL12	False	True
P42224	STAT1	True	False
P35968	KDR	False	False
P37173	TGFBR2	False	False
P62070	RRAS2	False	False
O14492	SH2B2	False	False
O00206	TLR4	False	False
P41221	WNT5A	False	True
P04628	WNT1	False	True
Q9Y6Q6	TNFRSF11A	False	False
O75093	SLIT1	False	True
P49815	TSC2	False	False
P15692	VEGFA	False	True
P26447	S100A4	False	False
P01135	TGFA	False	True
O43557	TNFSF14	False	True
Q99835	SMO	False	False
Q15628	TRADD	False	False
Q9NS23	RASSF1	False	False
Q13188	STK3	False	False
Q8IUC6	TICAM1	False	False
P61812	TGFB2	False	True
P28347	TEAD1	True	False
O75094	SLIT3	False	True
P01137	TGFB1	False	True
Q13105	ZBTB17	True	False
Q02750	MAP2K1	False	False
P52564	MAP2K6	False	False
P04637	TP53	True	False
Q13164	MAPK7	False	False
O15530	PDPK1	False	False
P01106	MYC	True	False
P12272	PTHLH	False	True
O75030	MITF	True	False
Q96S42	NODAL	False	True
P25116	F2R	False	False
P08648	ITGA5	False	False
P43629	KIR3DL1	False	False
P15018	LIF	False	True
