source	target	direction	stimulation	inhibition	sources	references
P01857	P12314	1	1	0	HuGeSiM	HuGeSiM:28385520
P01857	P12318	1	1	0	HuGeSiM	HuGeSiM:28385521
P01857	P31994	1	0	1	HuGeSiM	HuGeSiM:28385522
P01857	P31995	1	1	0	HuGeSiM	HuGeSiM:28385523
P01857	P08637	1	1	0	HuGeSiM	HuGeSiM:28385524
P01857	O75015	1	1	0	HuGeSiM	HuGeSiM:28385525
P01859	P12318	1	1	0	HuGeSiM	HuGeSiM:28385521
P01859	P08637	1	1	0	HuGeSiM	HuGeSiM:28385524
P01859	O75015	1	1	0	HuGeSiM	HuGeSiM:28385525
P01860	P12314	1	1	0	HuGeSiM	HuGeSiM:28385520
P01860	P12318	1	1	0	HuGeSiM	HuGeSiM:28385521
P01860	P31994	1	0	1	HuGeSiM	HuGeSiM:28385522
P01860	P31995	1	1	0	HuGeSiM	HuGeSiM:28385523
P01860	P08637	1	1	0	HuGeSiM	HuGeSiM:28385524
P01860	O75015	1	1	0	HuGeSiM	HuGeSiM:28385525
P01861	P12314	1	1	0	HuGeSiM	HuGeSiM:28385520
P01861	P12318	1	1	0	HuGeSiM	HuGeSiM:28385521
P01861	P31994	1	0	1	HuGeSiM	HuGeSiM:28385522
P01861	P31995	1	1	0	HuGeSiM	HuGeSiM:28385523
P01861	P08637	1	1	0	HuGeSiM	HuGeSiM:28385524
P31994	O15357	1	1	0	HuGeSiM	HuGeSiM:18064051
P08637	P43405	1	1	0	HuGeSiM	HuGeSiM:18064051
P49715	Q06546	0	0	0	HuGeSiM	HuGeSiM:15928042
P67870	P56270	1	0	0	HuGeSiM	HuGeSiM:10448092
P45983	Q06546	1	1	0	HuGeSiM	HuGeSiM:15928042
Q14145	Q14494	0	0	1	HuGeSiM	HuGeSiM:21262351
P16671	P07948	1	1	0	HuGeSiM	HuGeSiM:30825500
P78380	P04839	1	1	0	HuGeSiM	HuGeSiM:30664710
P04839	P19838	1	1	0	HuGeSiM	HuGeSiM:24845678
P04839	P42336	1	1	0	HuGeSiM	HuGeSiM:24845678
P04839	P28482	1	1	0	HuGeSiM	HuGeSiM:24845678
P04839	Q16665	1	1	0	HuGeSiM	HuGeSiM:24845678
Q8NAC3	O43734	1	1	0	HuGeSiM	HuGeSiM:24120361
Q99788	P63096	1	1	0	HuGeSiM	HuGeSiM:29279348
Q99788	P04899	1	1	0	HuGeSiM	HuGeSiM:29279348
Q99788	P08754	1	1	0	HuGeSiM	HuGeSiM:29279348
Q99788	P09471	1	1	0	HuGeSiM	HuGeSiM:29279348
Q6UXV0	P07949	1	1	0	HuGeSiM	HuGeSiM:32936319
P21730	P04899	1	1	0	HuGeSiM	HuGeSiM:18227853
P21730	P08754	1	1	0	HuGeSiM	HuGeSiM:18227853
P21730	P30679	1	1	0	HuGeSiM	HuGeSiM:18227853
Q9P296	P01031	1	0	1	HuGeSiM	HuGeSiM:18227853
P34995	P50148	1	1	0	HuGeSiM	HuGeSiM:22002714
P34995	P29992	1	1	0	HuGeSiM	HuGeSiM:22002714
P43116	Q5JWF2	1	1	0	HuGeSiM	HuGeSiM:22002714
P43116	O95467	1	1	0	HuGeSiM	HuGeSiM:22002714
P43116	P63092	1	1	0	HuGeSiM	HuGeSiM:22002714
P43115	O95467	1	1	0	HuGeSiM	HuGeSiM:22002714
P43115	P63096	1	1	0	HuGeSiM	HuGeSiM:22002714
P43115	P04899	1	1	0	HuGeSiM	HuGeSiM:22002714
P43115	P08754	1	1	0	HuGeSiM	HuGeSiM:22002714
P35408	P63096	1	1	0	HuGeSiM	HuGeSiM:22002714
P35408	P04899	1	1	0	HuGeSiM	HuGeSiM:22002714
P35408	P08754	1	1	0	HuGeSiM	HuGeSiM:22002714
P35408	Q5JWF2	1	1	0	HuGeSiM	HuGeSiM:22002714
P35408	O95467	1	1	0	HuGeSiM	HuGeSiM:22002714
P35408	P63092	1	1	0	HuGeSiM	HuGeSiM:22002714
Q15722	P63096	1	1	0	HuGeSiM	HuGeSiM:29042026
Q15722	P04899	1	1	0	HuGeSiM	HuGeSiM:29042026
Q15722	P08754	1	1	0	HuGeSiM	HuGeSiM:29042026
Q15722	P50148	1	1	0	HuGeSiM	HuGeSiM:29042026
Q15722	P30679	1	1	0	HuGeSiM	HuGeSiM:29042026
P42224	P52630	1	1	0	HuGeSiM	HuGeSiM:24416652
P52630	Q00978	1	1	0	HuGeSiM	HuGeSiM:24416652
P29597	P52630	1	1	0	HuGeSiM	HuGeSiM:24416652
P29597	P42224	1	1	0	HuGeSiM	HuGeSiM:24416652
Q86V24	Q9UKG1	1	1	0	HuGeSiM	HuGeSiM:18854421
P35590	Q02763	0	0	0	HuGeSiM	HuGeSiM:25371820
P98155	O75553	1	1	0	HuGeSiM	HuGeSiM:21554715
Q14114	O75553	1	1	0	HuGeSiM	HuGeSiM:21554715
P38484	O60674	0	1	0	HuGeSiM	HuGeSiM:30267440
