source	target	direction	stimulation	inhibition	sources	references
CHEBI15647	Q15722	1	1	0	HuGeSiM	
CHEBI15647	Q9NPC1	1	1	0	HuGeSiM	
CHEBI15367	P29762	1	1	0	HuGeSiM	
CHEBI15367	P29373	1	1	0	HuGeSiM	
CHEBI32957	Q92633	1	1	0	HuGeSiM	
CHEBI32957	Q9HBW0	1	1	0	HuGeSiM	
CHEBI32957	Q9UBY5	1	1	0	HuGeSiM	
CHEBI32957	Q99677	1	1	0	HuGeSiM	
CHEBI32957	Q9H1C0	1	1	0	HuGeSiM	
CHEBI32957	P43657	1	1	0	HuGeSiM	
CHEBI15551	P34995	1	1	0	HuGeSiM	
CHEBI15551	P43116	1	1	0	HuGeSiM	
CHEBI15551	P43115	1	1	0	HuGeSiM	
CHEBI15551	P35408	1	1	0	HuGeSiM	
CHEBI16412	O00206	1	1	0	HuGeSiM	
CHEBI16412	O60603	1	1	0	HuGeSiM	
CHEBI16412	P18428	1	1	0	HuGeSiM	
CHEBI16412	P08571	1	1	0	HuGeSiM	
CHEBI16412	Q9Y6Y9	1	1	0	HuGeSiM	
CHEBI60151	P78380	1	1	0	HuGeSiM	HuGeSiM:33182772
CHEBI60151	P16671	1	1	0	HuGeSiM	HuGeSiM:33182772
CHEBI60151	Q9H2A7	1	1	0	HuGeSiM	HuGeSiM:33182772
CHEBI60151	P21757	1	1	0	HuGeSiM	HuGeSiM:33182772
CHEBI60151	Q9NY15	1	1	0	HuGeSiM	HuGeSiM:33182772
CHEBI60151	Q15109	1	1	0	HuGeSiM	HuGeSiM:33182772
CHEBI60151	P08571	1	1	0	HuGeSiM	HuGeSiM:12424240
CHEBI134411	O60603	1	1	0	HuGeSiM	HuGeSiM:18644025
Q9NPH9	Q08334	1	1	0	HuGeSiM	HuGeSiM:30995504
Q9NPH9	O60603	1	1	0	HuGeSiM	HuGeSiM:33057074
P01023	P11021	1	1	0	HuGeSiM	HuGeSiM:15908432
O15123	P05556	1	1	0	HuGeSiM	HuGeSiM:25635707
O95760	Q9NPH3	1	1	0	HuGeSiM	HuGeSiM:18827826
O95760	Q01638	1	1	0	HuGeSiM	HuGeSiM:18827826
