source	target	direction	stimulation	inhibition	sources	references
O00548	P46531	1	1	0	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;KEGG-MEDICUS;Kirouac2010;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:1006133;Baccin2019:98194281;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;HPRD:11006133;LRdb:11;LRdb:9819428;NetPath:11006133;SIGNOR:16140393;SPIKE:11006133;SPIKE:17537801;connectomeDB2020:11006133;connectomeDB2020:9819428
P05019	P08069	1	1	0	Baccin2019;CA1;CellChatDB;CellPhoneDB;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;KEGG;KEGG-MEDICUS;Kirouac2010;LRdb;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;Sparser_ProtMapper;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:1852007;Baccin2019:2877871;CA1:8408032;CellChatDB:14604834;CellTalkDB:2877871;DIP:11287679;DIP:21645859;HPMR:2877871;HPRD:1852007;IntAct:21645859;IntAct:8452530;LRdb:185;LRdb:2877871;ProtMapper:19258508;ProtMapper:23675206;SIGNOR:17306385;SIGNOR:19029956;SIGNOR:21798082;SPIKE:1852007;SignaLink3:12067807;SignaLink3:1852007;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:1852007;connectomeDB2020:2877871
Q9GZX6	Q08334	1	1	0	CellTalkDB;Fantom5_LRdb;Guide2Pharma;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	CellTalkDB:10875937;HPRD:10875937;LRdb:10875937;Lit-BM-17:10875937;Lit-BM-17:12513909;Lit-BM-17:15120653;SIGNOR:17208301;SPIKE:18509351;SignaLink3:10875937;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:10875937
P01588	P19235	1	1	0	Baccin2019;BioGRID;CellChatDB;CellPhoneDB;CellTalkDB;DIP;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;IntAct;KEGG;Kirouac2010;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:10318834;Baccin2019:16982323;Baccin2019:9442088;Baccin2019:9808045;BioGRID:10318834;BioGRID:15358619;BioGRID:17327410;BioGRID:9808045;DIP:10318834;DIP:8662939;DIP:9030560;DIP:9774108;Guide2Pharma:16982323;HPMR:9442088;HPRD:10318834;HPRD:9808045;ICELLNET:2163696;ICELLNET:9974393;InnateDB:21889455;InnateDB:9774108;IntAct:29997244;IntAct:9774108;LRdb:10318834;LRdb:16982323;LRdb:9442088;LRdb:9808045;Lit-BM-17:10318834;Lit-BM-17:15358619;Lit-BM-17:17327410;Lit-BM-17:8662939;Lit-BM-17:9030560;Lit-BM-17:9774108;Lit-BM-17:9808045;SPIKE:18586265;SignaLink3:23331499;SignaLink3:9774108;connectomeDB2020:10318834;connectomeDB2020:16982323;connectomeDB2020:9442088;connectomeDB2020:9808045
P22301	Q13651	1	1	0	Baccin2019;BioGRID;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;IntAct;KEGG;Kirouac2010;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:10231374;Baccin2019:11485736;Baccin2019:11717514;Baccin2019:12974481;Baccin2019:7759550;Baccin2019:8248239;Baccin2019:8897595;BioGRID:10231374;BioGRID:11485736;BioGRID:11717514;BioGRID:7759550;BioGRID:8248239;CellTalkDB:12974481;DIP:15837194;DIP:20462497;DIP:8120391;HPRD:10231374;HPRD:11485736;HPRD:11717514;HPRD:7759550;HPRD:8248239;HPRD:8897595;InnateDB:10788470;InnateDB:11717514;InnateDB:9568901;IntAct:11485736;IntAct:12513909;IntAct:15837194;IntAct:20462497;LRdb:10231374;LRdb:11485736;LRdb:11717514;LRdb:12974481;LRdb:7759550;LRdb:8248239;LRdb:8897595;Lit-BM-17:10231374;Lit-BM-17:11485736;Lit-BM-17:11717514;Lit-BM-17:12513909;Lit-BM-17:15837194;Lit-BM-17:8120391;SIGNOR:10347215;SIGNOR:26260587;SPIKE:11591769;SignaLink3:17208301;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8248239;connectomeDB2020:10231374;connectomeDB2020:11485736;connectomeDB2020:11717514;connectomeDB2020:12974481;connectomeDB2020:7759550;connectomeDB2020:8248239;connectomeDB2020:8897595
P01579	P15260	1	1	0	Baccin2019;BioGRID;CellTalkDB;DIP;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;IntAct;KEGG;LRdb;Lit-BM-17;Macrophage;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_SignaLink3;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020;iTALK;talklr	Baccin2019:10811850;Baccin2019:10986460;Baccin2019:11250200;Baccin2019:12165521;BioGRID:10986460;CellTalkDB:10811850;DIP:10860730;DIP:7617032;HPMR:10811850;HPMR:12438563;HPRD:10986460;HPRD:11250200;HPRD:12165521;InnateDB:10986460;InnateDB:7673114;IntAct:11250200;IntAct:7617032;LRdb:10811850;LRdb:10986460;LRdb:11250200;LRdb:12165521;Lit-BM-17:10860730;Lit-BM-17:10986460;Lit-BM-17:11250200;Lit-BM-17:7617032;Lit-BM-17:7673114;Macrophage:7617032;SIGNOR:10986460;SIGNOR:12438563;SIGNOR:23898330;SPIKE:16110316;SignaLink3:10986460;SignaLink3:11250200;SignaLink3:12165521;SignaLink3:12438563;SignaLink3:12915721;SignaLink3:1396683;SignaLink3:15143187;SignaLink3:15530433;SignaLink3:16237089;SignaLink3:16467876;SignaLink3:18591661;SignaLink3:18988627;SignaLink3:20304997;SignaLink3:23331499;SignaLink3:29145629;SignaLink3:7510216;SignaLink3:7514165;SignaLink3:7615558;SignaLink3:7617032;SignaLink3:7673114;SignaLink3:8550631;SignaLink3:8631301;SignaLink3:9111318;connectomeDB2020:10811850;connectomeDB2020:10986460;connectomeDB2020:11250200;connectomeDB2020:12165521
P13501	P51681	1	1	0	Baccin2019;BioGRID;CellChatDB;CellPhoneDB;CellTalkDB;DIP;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;IntAct;KEGG;KEGG-MEDICUS;LRdb;Lit-BM-17;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:10318947;Baccin2019:10477718;Baccin2019:11116158;Baccin2019:12964882;Baccin2019:14637022;Baccin2019:16298345;Baccin2019:8663314;Baccin2019:9289016;Baccin2019:9790730;BioGRID:14637022;CellPhoneDB:24218476;DIP:10477718;DIP:10488147;DIP:9207005;DIP:9334377;Guide2Pharma:10318947;Guide2Pharma:16298345;Guide2Pharma:9790730;HPRD:10477718;HPRD:11116158;HPRD:14637022;HPRD:8663314;HPRD:9289016;ICELLNET:22633458;InnateDB:10477718;InnateDB:12213786;IntAct:23480650;IntAct:28381538;LRdb:10699158;Lit-BM-17:10477718;Lit-BM-17:10488147;Lit-BM-17:11116158;Lit-BM-17:11449371;Lit-BM-17:14637022;Lit-BM-17:23480650;Lit-BM-17:9207005;Lit-BM-17:9334377;ProtMapper:25923671;SPIKE:10477718;connectomeDB2020:10318947;connectomeDB2020:10477718;connectomeDB2020:11116158;connectomeDB2020:12964882;connectomeDB2020:14637022;connectomeDB2020:16298345;connectomeDB2020:8663314;connectomeDB2020:9289016;connectomeDB2020:9790730
P05231	P40189	1	1	0	Baccin2019;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;LRdb;Lit-BM-17;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020;iTALK;talklr	Baccin2019:14557255;Baccin2019:3136546;Baccin2019:8293462;CellTalkDB:14557255;DIP:11251120;DIP:7744001;Guide2Pharma:1995637;HPMR:15895091;HPMR:3136546;HPRD:14557255;InnateDB:15895091;LRdb:14557255;LRdb:3136546;LRdb:8293462;Lit-BM-17:11251120;Lit-BM-17:12829785;Lit-BM-17:18775332;Lit-BM-17:7744001;NetPath:2788034;SIGNOR:15895091;SPIKE:15895091;SPIKE:19715447;connectomeDB2020:14557255;connectomeDB2020:3136546;connectomeDB2020:8293462
P01583	P14778	1	1	0	Baccin2019;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;KEGG;Kirouac2010;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:29469592946959;CellTalkDB:2946959;HPRD:2946959;InnateDB:8142597;LRdb:2946959;NetPath:17507369;NetPath:2946959;NetPath:7775431;SIGNOR:7964161;SIGNOR:9565970;SPIKE:19479203;SignaLink3:23331499;SignaLink3:2946959;SignaLink3:9565970;connectomeDB2020:2946959
P29965	P25942	1	1	0	CellChatDB;CellPhoneDB;CellPhoneDB_ICELLNET;CellTalkDB;DIP;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG;KEGG-MEDICUS;LRdb;Ramilowski2015;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	CellPhoneDB:23602662;DIP:1280226;HPRD:10647992;HPRD:7516405;HPRD:7543281;ICELLNET:11163401;LRdb:10647992;LRdb:1374165;LRdb:7516405;LRdb:7543281;SIGNOR:12324477;SIGNOR:19426221;SPIKE:17183360;connectomeDB2020:10647992;connectomeDB2020:1374165;connectomeDB2020:7516405;connectomeDB2020:7543281
