source	target	direction	stimulation	inhibition	confidence	sources	references
P35869	P04798	1	1	0	A	DoRothEA;HOCOMOCO_DoRothEA;HTRIdb;HTRIdb_DoRothEA;SIGNOR;TRRUST_DoRothEA	HTRIdb:10359656;HTRIdb:16972788;HTRIdb:17785579;HTRIdb:9698073;SIGNOR:17012224
P35869	P05177	0	0	0	A	DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA	HTRIdb:17785579
P35869	Q16678	1	1	0	A	DoRothEA;HOCOMOCO_DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA	HTRIdb:12801909;HTRIdb:17785579
P01100	P35869	0	0	0	A	DoRothEA;PAZAR_DoRothEA	nan
P35869	P01100	0	0	0	A	DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA	DoRothEA:10478842;HTRIdb:10478842
P35869	P01106	0	0	0	A	DoRothEA;FANTOM4_DoRothEA;TRRUST_DoRothEA	nan
P35869	P19224	0	0	0	A	DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA	DoRothEA:9466822;HTRIdb:9466822
P10275	P61221	0	0	0	A	DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb	DoRothEA:17721441;HTRIdb:20610535
P10275	Q6JQN1	0	0	0	A	DoRothEA;DoRothEA-reviews_DoRothEA	DoRothEA:17721441
P10275	P15309	0	0	0	A	DoRothEA;HTRIdb;IntAct_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	HTRIdb:20610535
P10275	P02765	0	0	0	A	DoRothEA;DoRothEA-reviews_DoRothEA;HOCOMOCO_DoRothEA	DoRothEA:17721441
P10275	Q12802	0	0	0	B	DoRothEA;HTRIdb;PAZAR_DoRothEA;ReMap_DoRothEA	HTRIdb:20610535
P10275	P15121	0	0	0	A	DoRothEA;HTRIdb;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	HTRIdb:20610535
P10275	P42330	1	0	1	A	DoRothEA;HOCOMOCO_DoRothEA;TRRUST_DoRothEA	DoRothEA:22971343
P10275	P31749	1	1	0	A	DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA	DoRothEA:11278645
P10275	P10696	0	0	0	A	DoRothEA;DoRothEA-reviews_DoRothEA	DoRothEA:17721441
P10275	Q9UM13	0	0	0	A	DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb	DoRothEA:17721441;HTRIdb:20610535
P10275	Q96CW1	0	0	0	A	DoRothEA;DoRothEA-reviews_DoRothEA	DoRothEA:17721441
P10275	Q92624	0	0	0	A	DoRothEA;DoRothEA-reviews_DoRothEA	DoRothEA:17721441
